geoName,geoCode,Wand malen
Baden-Württemberg,DE-BW,43
Bavaria,DE-BY,64
Berlin,DE-BE,48
Brandenburg,DE-BB,0
Bremen,DE-HB,0
Hamburg,DE-HH,53
Hesse,DE-HE,41
Lower Saxony,DE-NI,40
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,55
Rhineland-Palatinate,DE-RP,50
Saarland,DE-SL,0
Saxony,DE-SN,100
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,71
Thuringia,DE-TH,0
