geoName,geoCode,Location matrimonio
Abruzzo,IT-65,31
Aosta,IT-23,0
Apulia,IT-75,21
Basilicata,IT-77,0
Calabria,IT-78,26
Campania,IT-72,70
Emilia-Romagna,IT-45,52
Friuli-Venezia Giulia,IT-36,30
Lazio,IT-62,37
Liguria,IT-42,59
Lombardy,IT-25,55
Marche,IT-57,0
Molise,IT-67,0
Piedmont,IT-21,44
Sardinia,IT-88,100
Sicily,IT-82,56
Trentino-Alto Adige/South Tyrol,IT-32,51
Tuscany,IT-52,56
Umbria,IT-55,0
Veneto,IT-34,66
