geoName,geoCode,Gerüstbau
Baden-Württemberg,DE-BW,72
Bavaria,DE-BY,68
Berlin,DE-BE,49
Brandenburg,DE-BB,100
Bremen,DE-HB,93
Hamburg,DE-HH,69
Hesse,DE-HE,71
Lower Saxony,DE-NI,55
Mecklenburg-Vorpommern,DE-MV,73
North Rhine-Westphalia,DE-NW,72
Rhineland-Palatinate,DE-RP,88
Saarland,DE-SL,87
Saxony,DE-SN,92
Saxony-Anhalt,DE-ST,87
Schleswig-Holstein,DE-SH,65
Thuringia,DE-TH,98
