geoName,geoCode,Gerüstbau
Burgenland,AT-1,0
Carinthia,AT-2,100
Lower Austria,AT-3,16
Salzburg,AT-5,86
Styria,AT-6,39
Tyrol,AT-7,36
Upper Austria,AT-4,93
Vienna,AT-9,23
Vorarlberg,AT-8,48
