,geoName,maison à rénover
3,Brittany,68.75
5,Centre-Val de Loire,67.5
7,Corsica,0.0
15,Pays de la Loire,100.0
18,Provence-Alpes-Côte d'Azur,83.75
21,Île-de-France,87.5
22,Grand-est,71.25
23,Hauts-de-france,69.375
24,Normandie,58.12500000000001
25,Bourgogne-Franche-Comté,0.0
26,Nouvelle-Aquitaine,61.66666666666667
27,Occitanie,92.5
28,Auvergne-Rhône-Alpes,33.75
