date,trucco occhi,isPartial
2018-01-07,0,False
2018-01-14,45,False
2018-01-21,37,False
2018-01-28,58,False
2018-02-04,50,False
2018-02-11,37,False
2018-02-18,71,False
2018-02-25,54,False
2018-03-04,29,False
2018-03-11,44,False
2018-03-18,56,False
2018-03-25,38,False
2018-04-01,31,False
2018-04-08,52,False
2018-04-15,68,False
2018-04-22,47,False
2018-04-29,68,False
2018-05-06,67,False
2018-05-13,45,False
2018-05-20,59,False
2018-05-27,100,False
2018-06-03,69,False
2018-06-10,70,False
2018-06-17,57,False
2018-06-24,42,False
2018-07-01,51,False
2018-07-08,36,False
2018-07-15,29,False
2018-07-22,56,False
2018-07-29,49,False
2018-08-05,55,False
2018-08-12,19,False
2018-08-19,56,False
2018-08-26,45,False
2018-09-02,41,False
2018-09-09,50,False
2018-09-16,43,False
2018-09-23,36,False
2018-09-30,44,False
2018-10-07,23,False
2018-10-14,31,False
2018-10-21,23,False
2018-10-28,30,False
2018-11-04,37,False
2018-11-11,23,False
2018-11-18,15,False
2018-11-25,59,False
2018-12-02,32,False
2018-12-09,38,False
2018-12-16,31,False
2018-12-23,41,False
2018-12-30,66,False
2019-01-06,14,False
2019-01-13,29,False
2019-01-20,33,False
2019-01-27,33,False
2019-02-03,39,False
2019-02-10,53,False
2019-02-17,27,False
2019-02-24,54,False
2019-03-03,43,False
2019-03-10,41,False
2019-03-17,43,False
2019-03-24,28,False
2019-03-31,27,False
2019-04-07,68,False
2019-04-14,50,False
2019-04-21,43,False
2019-04-28,40,False
2019-05-05,87,False
2019-05-12,52,False
2019-05-19,33,False
2019-05-26,57,False
2019-06-02,42,False
2019-06-09,57,False
2019-06-16,56,False
2019-06-23,48,False
2019-06-30,76,False
2019-07-07,26,False
2019-07-14,40,False
2019-07-21,48,False
2019-07-28,65,False
2019-08-04,20,False
2019-08-11,41,False
2019-08-18,45,False
2019-08-25,58,False
2019-09-01,69,False
2019-09-08,25,False
2019-09-15,12,False
2019-09-22,19,False
2019-09-29,70,False
2019-10-06,20,False
2019-10-13,39,False
2019-10-20,26,False
2019-10-27,26,False
2019-11-03,37,False
2019-11-10,38,False
2019-11-17,45,False
2019-11-24,12,False
2019-12-01,26,False
2019-12-08,40,False
2019-12-15,26,False
2019-12-22,34,False
2019-12-29,59,False
2020-01-05,31,False
2020-01-12,24,False
2020-01-19,25,False
2020-01-26,24,False
2020-02-02,29,False
2020-02-09,36,False
2020-02-16,42,False
2020-02-23,17,False
2020-03-01,34,False
2020-03-08,10,False
2020-03-15,15,False
2020-03-22,19,False
2020-03-29,19,False
2020-04-05,31,False
2020-04-12,21,False
2020-04-19,19,False
2020-04-26,18,True
