geoName,geoCode,trucco occhi
Abruzzo,IT-65,53
Aosta,IT-23,0
Apulia,IT-75,61
Basilicata,IT-77,100
Calabria,IT-78,36
Campania,IT-72,61
Emilia-Romagna,IT-45,34
Friuli-Venezia Giulia,IT-36,57
Lazio,IT-62,60
Liguria,IT-42,30
Lombardy,IT-25,46
Marche,IT-57,49
Molise,IT-67,67
Piedmont,IT-21,45
Sardinia,IT-88,51
Sicily,IT-82,68
Trentino-Alto Adige/South Tyrol,IT-32,32
Tuscany,IT-52,42
Umbria,IT-55,58
Veneto,IT-34,49
