date,Bewegungsmelder,isPartial
2018-01-07,49,False
2018-01-14,63,False
2018-01-21,44,False
2018-01-28,54,False
2018-02-04,48,False
2018-02-11,44,False
2018-02-18,41,False
2018-02-25,29,False
2018-03-04,63,False
2018-03-11,58,False
2018-03-18,47,False
2018-03-25,63,False
2018-04-01,60,False
2018-04-08,37,False
2018-04-15,37,False
2018-04-22,31,False
2018-04-29,24,False
2018-05-06,30,False
2018-05-13,59,False
2018-05-20,56,False
2018-05-27,45,False
2018-06-03,64,False
2018-06-10,25,False
2018-06-17,38,False
2018-06-24,35,False
2018-07-01,26,False
2018-07-08,54,False
2018-07-15,42,False
2018-07-22,43,False
2018-07-29,46,False
2018-08-05,45,False
2018-08-12,52,False
2018-08-19,58,False
2018-08-26,68,False
2018-09-02,51,False
2018-09-09,36,False
2018-09-16,41,False
2018-09-23,49,False
2018-09-30,48,False
2018-10-07,54,False
2018-10-14,62,False
2018-10-21,65,False
2018-10-28,91,False
2018-11-04,77,False
2018-11-11,71,False
2018-11-18,81,False
2018-11-25,62,False
2018-12-02,65,False
2018-12-09,59,False
2018-12-16,33,False
2018-12-23,58,False
2018-12-30,56,False
2019-01-06,70,False
2019-01-13,56,False
2019-01-20,65,False
2019-01-27,49,False
2019-02-03,41,False
2019-02-10,42,False
2019-02-17,49,False
2019-02-24,33,False
2019-03-03,26,False
2019-03-10,57,False
2019-03-17,51,False
2019-03-24,34,False
2019-03-31,37,False
2019-04-07,39,False
2019-04-14,37,False
2019-04-21,46,False
2019-04-28,34,False
2019-05-05,33,False
2019-05-12,43,False
2019-05-19,43,False
2019-05-26,33,False
2019-06-02,25,False
2019-06-09,42,False
2019-06-16,42,False
2019-06-23,37,False
2019-06-30,37,False
2019-07-07,43,False
2019-07-14,36,False
2019-07-21,29,False
2019-07-28,45,False
2019-08-04,68,False
2019-08-11,46,False
2019-08-18,63,False
2019-08-25,60,False
2019-09-01,56,False
2019-09-08,41,False
2019-09-15,53,False
2019-09-22,57,False
2019-09-29,83,False
2019-10-06,55,False
2019-10-13,53,False
2019-10-20,64,False
2019-10-27,65,False
2019-11-03,80,False
2019-11-10,73,False
2019-11-17,92,False
2019-11-24,100,False
2019-12-01,59,False
2019-12-08,61,False
2019-12-15,62,False
2019-12-22,41,False
2019-12-29,94,False
2020-01-05,67,False
2020-01-12,73,False
2020-01-19,65,False
2020-01-26,58,False
2020-02-02,43,False
2020-02-09,58,False
2020-02-16,50,False
2020-02-23,61,False
2020-03-01,46,False
2020-03-08,41,False
2020-03-15,22,False
2020-03-22,34,False
2020-03-29,41,False
2020-04-05,54,False
2020-04-12,35,False
2020-04-19,32,False
2020-04-26,32,False
2020-05-03,55,False
2020-05-10,44,False
2020-05-17,52,False
2020-05-24,61,False
2020-05-31,41,False
2020-06-07,72,False
2020-06-14,50,False
2020-06-21,54,False
2020-06-28,37,False
2020-07-05,26,False
