geoName,geoCode,Bewegungsmelder
Burgenland,AT-1,53
Carinthia,AT-2,100
Lower Austria,AT-3,82
Salzburg,AT-5,49
Styria,AT-6,79
Tyrol,AT-7,63
Upper Austria,AT-4,88
Vienna,AT-9,47
Vorarlberg,AT-8,43
