geoName,geoCode,Glaser
Baden-Württemberg,DE-BW,100
Bavaria,DE-BY,71
Berlin,DE-BE,53
Brandenburg,DE-BB,67
Bremen,DE-HB,27
Hamburg,DE-HH,57
Hesse,DE-HE,48
Lower Saxony,DE-NI,54
Mecklenburg-Vorpommern,DE-MV,62
North Rhine-Westphalia,DE-NW,64
Rhineland-Palatinate,DE-RP,57
Saarland,DE-SL,36
Saxony,DE-SN,59
Saxony-Anhalt,DE-ST,41
Schleswig-Holstein,DE-SH,58
Thuringia,DE-TH,57
