geoName,geoCode,Brunnenbau
Baden-Württemberg,DE-BW,10
Bavaria,DE-BY,16
Berlin,DE-BE,36
Brandenburg,DE-BB,100
Bremen,DE-HB,21
Hamburg,DE-HH,17
Hesse,DE-HE,15
Lower Saxony,DE-NI,38
Mecklenburg-Vorpommern,DE-MV,36
North Rhine-Westphalia,DE-NW,21
Rhineland-Palatinate,DE-RP,15
Saarland,DE-SL,14
Saxony,DE-SN,41
Saxony-Anhalt,DE-ST,73
Schleswig-Holstein,DE-SH,23
Thuringia,DE-TH,34
