geoName,geoCode,Rolltor
Baden-Württemberg,DE-BW,54
Bavaria,DE-BY,46
Berlin,DE-BE,29
Brandenburg,DE-BB,87
Bremen,DE-HB,53
Hamburg,DE-HH,21
Hesse,DE-HE,50
Lower Saxony,DE-NI,46
Mecklenburg-Vorpommern,DE-MV,83
North Rhine-Westphalia,DE-NW,38
Rhineland-Palatinate,DE-RP,64
Saarland,DE-SL,79
Saxony,DE-SN,73
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,46
Thuringia,DE-TH,61
