geoName,geoCode,Fontanero
Andalusia,ES-AN,85
Aragon,ES-AR,72
Asturias,ES-AS,80
Balearic Islands,ES-IB,100
Basque Country,ES-PV,63
Canary Islands,ES-CN,79
Cantabria,ES-CB,66
Castile and León,ES-CL,90
Castile-La Mancha,ES-CM,89
Catalonia,ES-CT,47
Ceuta,ES-CE,0
Community of Madrid,ES-MD,66
Extremadura,ES-EX,90
Galicia,ES-GA,76
La Rioja,ES-RI,81
Melilla,ES-ML,0
Navarre,ES-NC,79
Region of Murcia,ES-MC,73
Valencian Community,ES-VC,89
