geoName,geoCode,taglio corto
Abruzzo,IT-65,53
Aosta,IT-23,0
Apulia,IT-75,68
Basilicata,IT-77,84
Calabria,IT-78,47
Campania,IT-72,43
Emilia-Romagna,IT-45,38
Friuli-Venezia Giulia,IT-36,62
Lazio,IT-62,56
Liguria,IT-42,85
Lombardy,IT-25,60
Marche,IT-57,56
Molise,IT-67,95
Piedmont,IT-21,54
Sardinia,IT-88,100
Sicily,IT-82,67
Trentino-Alto Adige/South Tyrol,IT-32,30
Tuscany,IT-52,59
Umbria,IT-55,32
Veneto,IT-34,54
