date,discoteca,isPartial
2018-01-07,19,False
2018-01-14,10,False
2018-01-21,25,False
2018-01-28,22,False
2018-02-04,16,False
2018-02-11,25,False
2018-02-18,25,False
2018-02-25,25,False
2018-03-04,15,False
2018-03-11,22,False
2018-03-18,46,False
2018-03-25,22,False
2018-04-01,47,False
2018-04-08,21,False
2018-04-15,16,False
2018-04-22,20,False
2018-04-29,15,False
2018-05-06,9,False
2018-05-13,37,False
2018-05-20,39,False
2018-05-27,21,False
2018-06-03,26,False
2018-06-10,38,False
2018-06-17,22,False
2018-06-24,21,False
2018-07-01,30,False
2018-07-08,35,False
2018-07-15,40,False
2018-07-22,59,False
2018-07-29,45,False
2018-08-05,55,False
2018-08-12,100,False
2018-08-19,36,False
2018-08-26,43,False
2018-09-02,17,False
2018-09-09,24,False
2018-09-16,12,False
2018-09-23,16,False
2018-09-30,6,False
2018-10-07,15,False
2018-10-14,18,False
2018-10-21,6,False
2018-10-28,25,False
2018-11-04,22,False
2018-11-11,26,False
2018-11-18,22,False
2018-11-25,28,False
2018-12-02,87,False
2018-12-09,67,False
2018-12-16,34,False
2018-12-23,63,False
2018-12-30,42,False
2019-01-06,19,False
2019-01-13,22,False
2019-01-20,21,False
2019-01-27,27,False
2019-02-03,28,False
2019-02-10,13,False
2019-02-17,23,False
2019-02-24,6,False
2019-03-03,23,False
2019-03-10,19,False
2019-03-17,10,False
2019-03-24,29,False
2019-03-31,32,False
2019-04-07,21,False
2019-04-14,29,False
2019-04-21,23,False
2019-04-28,47,False
2019-05-05,18,False
2019-05-12,21,False
2019-05-19,21,False
2019-05-26,37,False
2019-06-02,30,False
2019-06-09,43,False
2019-06-16,48,False
2019-06-23,40,False
2019-06-30,42,False
2019-07-07,51,False
2019-07-14,37,False
2019-07-21,53,False
2019-07-28,39,False
2019-08-04,56,False
2019-08-11,52,False
2019-08-18,60,False
2019-08-25,57,False
2019-09-01,35,False
2019-09-08,33,False
2019-09-15,21,False
2019-09-22,13,False
2019-09-29,11,False
2019-10-06,30,False
2019-10-13,31,False
2019-10-20,27,False
2019-10-27,31,False
2019-11-03,30,False
2019-11-10,19,False
2019-11-17,16,False
2019-11-24,23,False
2019-12-01,24,False
2019-12-08,31,False
2019-12-15,22,False
2019-12-22,50,False
2019-12-29,53,False
2020-01-05,24,False
2020-01-12,15,False
2020-01-19,22,False
2020-01-26,23,False
2020-02-02,39,False
2020-02-09,36,False
2020-02-16,26,False
2020-02-23,27,False
2020-03-01,19,False
2020-03-08,11,False
2020-03-15,18,False
2020-03-22,31,False
2020-03-29,11,False
2020-04-05,12,False
2020-04-12,25,False
2020-04-19,6,False
2020-04-26,11,True
