Year,ticket_geo_region_name,Type,sub_type,avg Percentage
2018,Auvergne-Rhône-Alpes,Dépenses,Premium,0.54
2018,Auvergne-Rhône-Alpes,Lieu de réception,Château,0.63
2018,Auvergne-Rhône-Alpes,Professionnel le plus solicité,Wedding Planner,0.2
2018,Auvergne-Rhône-Alpes,Style de crérémonie,Nature,0.32
2018,Auvergne-Rhône-Alpes,Type de cérémonie,Civil,0.78
2018,Bourgogne-Franche-Comté,Dépenses,Premium,0.51
2018,Bourgogne-Franche-Comté,Lieu de réception,Château,0.74
2018,Bourgogne-Franche-Comté,Professionnel le plus solicité,Couturier,0.29
2018,Bourgogne-Franche-Comté,Style de crérémonie,Chic,0.35
2018,Bourgogne-Franche-Comté,Type de cérémonie,Civil,0.9
2018,Bretagne,Dépenses,Premium,0.51
2018,Bretagne,Lieu de réception,Château,0.45
2018,Bretagne,Professionnel le plus solicité,Couturier,0.23
2018,Bretagne,Style de crérémonie,Chic,0.26
2018,Bretagne,Type de cérémonie,Civil,0.54
2018,Centre-Val de Loire,Dépenses,Premium,0.55
2018,Centre-Val de Loire,Lieu de réception,Château,0.56
2018,Centre-Val de Loire,Professionnel le plus solicité,Wedding Planner,0.23
2018,Centre-Val de Loire,Style de crérémonie,Chic,0.24
2018,Centre-Val de Loire,Type de cérémonie,Civil,0.56
2018,Corse,Dépenses,NA,NA
2018,Corse,Food,NA,NA
2018,Corse,Lieu de réception,NA,NA
2018,Corse,Professionnel le plus solicité,NA,NA
2018,Corse,Style de crérémonie,NA,NA
2018,Corse,Type de cérémonie,NA,NA
2018,France,Dépenses,Premium,0.54
2018,France,Lieu de réception,Château,0.46
2018,France,Professionnel le plus solicité,Wedding Planner,0.23
2018,France,Style de crérémonie,Chic,0.25
2018,France,Type de cérémonie,Civil,0.61
2018,Grand-Est,Dépenses,Premium,0.51
2018,Grand-Est,Lieu de réception,Château,0.61
2018,Grand-Est,Professionnel le plus solicité,Wedding Planner,0.24
2018,Grand-Est,Style de crérémonie,Chic,0.32
2018,Grand-Est,Type de cérémonie,Civil,0.72
2018,Hauts-de-France,Dépenses,Premium,0.53
2018,Hauts-de-France,Lieu de réception,Château,0.47
2018,Hauts-de-France,Professionnel le plus solicité,Wedding Planner,0.28
