Year,ticket_geo_region_name,Spend_type,Distribution
2018,Auvergne-Rhône-Alpes,Premium,0.54
2018,Auvergne-Rhône-Alpes,Standard,0.47
2018,Bourgogne-Franche-Comté,Premium,0.51
2018,Bourgogne-Franche-Comté,Standard,0.49
2018,Bretagne,Premium,0.51
2018,Bretagne,Standard,0.49
2018,Centre-Val de Loire,Premium,0.55
2018,Centre-Val de Loire,Standard,0.45
2018,Corse,Premium,NA
2018,Corse,Standard,NA
2018,France,Premium,0.54
2018,France,Standard,0.46
2018,Grand-Est,Premium,0.51
2018,Grand-Est,Standard,0.49
2018,Hauts-de-France,Premium,0.53
2018,Hauts-de-France,Standard,0.48
2018,Normandie,Premium,0.51
2018,Normandie,Standard,0.5
2018,Nouvelle-Aquitaine,Premium,0.52
2018,Nouvelle-Aquitaine,Standard,0.48
2018,Occitanie,Premium,0.53
2018,Occitanie,Standard,0.47
2018,Pays de la Loire,Premium,0.5
2018,Pays de la Loire,Standard,0.5
2018,Provence-Alpes-Côte d'Azur,Premium,0.56
2018,Provence-Alpes-Côte d'Azur,Standard,0.44
2018,Île-de-France,Premium,0.55
2018,Île-de-France,Standard,0.45
2019,Auvergne-Rhône-Alpes,Premium,0.56
2019,Auvergne-Rhône-Alpes,Standard,0.45
2019,Bourgogne-Franche-Comté,Premium,0.52
2019,Bourgogne-Franche-Comté,Standard,0.49
2019,Bretagne,Premium,0.51
2019,Bretagne,Standard,0.49
2019,Centre-Val de Loire,Premium,0.57
2019,Centre-Val de Loire,Standard,0.43
2019,Corse,Premium,NA
2019,Corse,Standard,NA
2019,France,Premium,0.56
2019,France,Standard,0.44
2019,Grand-Est,Premium,0.51
2019,Grand-Est,Standard,0.49
2019,Hauts-de-France,Premium,0.51
2019,Hauts-de-France,Standard,0.49
2019,Normandie,Premium,0.52
2019,Normandie,Standard,0.49
2019,Nouvelle-Aquitaine,Premium,0.54
2019,Nouvelle-Aquitaine,Standard,0.46
2019,Occitanie,Premium,0.53
2019,Occitanie,Standard,0.48
2019,Pays de la Loire,Premium,0.52
2019,Pays de la Loire,Standard,0.48
2019,Provence-Alpes-Côte d'Azur,Premium,0.56
2019,Provence-Alpes-Côte d'Azur,Standard,0.45
2019,Île-de-France,Premium,0.56
2019,Île-de-France,Standard,0.43
2020,Auvergne-Rhône-Alpes,Premium,0.53
2020,Auvergne-Rhône-Alpes,Standard,0.47
2020,Bourgogne-Franche-Comté,Premium,0.54
2020,Bourgogne-Franche-Comté,Standard,0.46
2020,Bretagne,Premium,0.52
2020,Bretagne,Standard,0.48
2020,Centre-Val de Loire,Premium,0.58
2020,Centre-Val de Loire,Standard,0.42
2020,Corse,Premium,NA
2020,Corse,Standard,NA
2020,France,Premium,0.57
2020,France,Standard,0.42
2020,Grand-Est,Premium,0.51
2020,Grand-Est,Standard,0.49
2020,Hauts-de-France,Premium,0.53
2020,Hauts-de-France,Standard,0.47
2020,Normandie,Premium,0.53
2020,Normandie,Standard,0.47
2020,Nouvelle-Aquitaine,Premium,0.53
2020,Nouvelle-Aquitaine,Standard,0.47
2020,Occitanie,Premium,0.52
2020,Occitanie,Standard,0.48
2020,Pays de la Loire,Premium,0.51
2020,Pays de la Loire,Standard,0.49
2020,Provence-Alpes-Côte d'Azur,Premium,0.59
2020,Provence-Alpes-Côte d'Azur,Standard,0.41
2020,Île-de-France,Premium,0.54
2020,Île-de-France,Standard,0.46
