Year,ticket_geo_region_name,Loc_type,Distribution
2019,Provence-Alpes-Côte d'Azur,Château,0.39
2019,Provence-Alpes-Côte d'Azur,Jardin,0.12
2019,Provence-Alpes-Côte d'Azur,Plage,0.21
2019,Provence-Alpes-Côte d'Azur,Restaurant,0.27
2019,Provence-Alpes-Côte d'Azur,Salle des fêtes,0.0
2019,Île-de-France,Château,0.43
2019,Île-de-France,Jardin,0.09
2019,Île-de-France,Plage,0.1
2019,Île-de-France,Restaurant,0.21
2019,Île-de-France,Salle des fêtes,0.02
2020,Auvergne-Rhône-Alpes,Château,0.65
2020,Auvergne-Rhône-Alpes,Jardin,0.03
2020,Auvergne-Rhône-Alpes,Plage,0.03
2020,Auvergne-Rhône-Alpes,Restaurant,0.25
2020,Auvergne-Rhône-Alpes,Salle des fêtes,0.03
2020,Bourgogne-Franche-Comté,Château,0.9
2020,Bourgogne-Franche-Comté,Jardin,0.0
2020,Bourgogne-Franche-Comté,Plage,0.0
2020,Bourgogne-Franche-Comté,Restaurant,0.1
2020,Bourgogne-Franche-Comté,Salle des fêtes,0.0
2020,Bretagne,Château,0.54
2020,Bretagne,Jardin,0.09
2020,Bretagne,Plage,0.11
2020,Bretagne,Restaurant,0.26
2020,Bretagne,Salle des fêtes,0.0
2020,Centre-Val de Loire,Château,0.23
2020,Centre-Val de Loire,Jardin,0.0
2020,Centre-Val de Loire,Plage,0.0
2020,Centre-Val de Loire,Restaurant,0.14
2020,Centre-Val de Loire,Salle des fêtes,0.09
2020,Corse,Château,NA
2020,Corse,Jardin,NA
2020,Corse,Plage,NA
2020,Corse,Restaurant,NA
2020,Corse,Salle des fêtes,NA
2020,France,Château,0.44
2020,France,Jardin,0.12
2020,France,Plage,0.09
2020,France,Restaurant,0.19
2020,France,Salle des fêtes,0.07
2020,Grand-Est,Château,0.66
2020,Grand-Est,Jardin,0.0
2020,Grand-Est,Plage,0.0
2020,Grand-Est,Restaurant,0.32
2020,Grand-Est,Salle des fêtes,0.0
2020,Hauts-de-France,Château,0.6
2020,Hauts-de-France,Jardin,0.05
2020,Hauts-de-France,Plage,0.1
2020,Hauts-de-France,Restaurant,0.17
2020,Hauts-de-France,Salle des fêtes,0.02
2020,Normandie,Château,0.49
2020,Normandie,Jardin,0.0
2020,Normandie,Plage,0.31
2020,Normandie,Restaurant,0.21
2020,Normandie,Salle des fêtes,0.0
2020,Nouvelle-Aquitaine,Château,0.62
2020,Nouvelle-Aquitaine,Jardin,0.05
2020,Nouvelle-Aquitaine,Plage,0.03
2020,Nouvelle-Aquitaine,Restaurant,0.26
2020,Nouvelle-Aquitaine,Salle des fêtes,0.0
2020,Occitanie,Château,0.47
2020,Occitanie,Jardin,0.02
2020,Occitanie,Plage,0.21
2020,Occitanie,Restaurant,0.31
2020,Occitanie,Salle des fêtes,0.0
2020,Pays de la Loire,Château,0.39
2020,Pays de la Loire,Jardin,0.11
2020,Pays de la Loire,Plage,0.26
2020,Pays de la Loire,Restaurant,0.24
2020,Pays de la Loire,Salle des fêtes,0.0
2020,Provence-Alpes-Côte d'Azur,Château,0.21
2020,Provence-Alpes-Côte d'Azur,Jardin,0.34
2020,Provence-Alpes-Côte d'Azur,Plage,0.19
2020,Provence-Alpes-Côte d'Azur,Restaurant,0.26
2020,Provence-Alpes-Côte d'Azur,Salle des fêtes,0.0
2020,Île-de-France,Château,0.38
2020,Île-de-France,Jardin,0.08
2020,Île-de-France,Plage,0.09
2020,Île-de-France,Restaurant,0.2
2020,Île-de-France,Salle des fêtes,0.04
