,geoName,psychologue travail
3,Brittany,36.0
5,Centre-Val de Loire,41.0
7,Corsica,0.0
15,Pays de la Loire,100.0
18,Provence-Alpes-Côte d'Azur,49.0
21,Île-de-France,66.0
22,Grand-est,48.0
23,Hauts-de-france,17.0
24,Normandie,0.0
25,Bourgogne-Franche-Comté,0.0
26,Nouvelle-Aquitaine,20.0
27,Occitanie,66.0
28,Auvergne-Rhône-Alpes,30.5
