date,fiori,isPartial
2018-01-07,55,False
2018-01-14,50,False
2018-01-21,65,False
2018-01-28,59,False
2018-02-04,63,False
2018-02-11,74,False
2018-02-18,64,False
2018-02-25,49,False
2018-03-04,71,False
2018-03-11,70,False
2018-03-18,69,False
2018-03-25,75,False
2018-04-01,89,False
2018-04-08,78,False
2018-04-15,97,False
2018-04-22,93,False
2018-04-29,85,False
2018-05-06,86,False
2018-05-13,76,False
2018-05-20,83,False
2018-05-27,78,False
2018-06-03,74,False
2018-06-10,77,False
2018-06-17,80,False
2018-06-24,86,False
2018-07-01,81,False
2018-07-08,80,False
2018-07-15,78,False
2018-07-22,76,False
2018-07-29,70,False
2018-08-05,67,False
2018-08-12,66,False
2018-08-19,72,False
2018-08-26,65,False
2018-09-02,65,False
2018-09-09,67,False
2018-09-16,56,False
2018-09-23,58,False
2018-09-30,53,False
2018-10-07,61,False
2018-10-14,58,False
2018-10-21,56,False
2018-10-28,54,False
2018-11-04,50,False
2018-11-11,56,False
2018-11-18,46,False
2018-11-25,55,False
2018-12-02,55,False
2018-12-09,50,False
2018-12-16,45,False
2018-12-23,51,False
2018-12-30,54,False
2019-01-06,49,False
2019-01-13,59,False
2019-01-20,46,False
2019-01-27,47,False
2019-02-03,50,False
2019-02-10,63,False
2019-02-17,60,False
2019-02-24,70,False
2019-03-03,75,False
2019-03-10,72,False
2019-03-17,81,False
2019-03-24,69,False
2019-03-31,74,False
2019-04-07,75,False
2019-04-14,69,False
2019-04-21,92,False
2019-04-28,83,False
2019-05-05,86,False
2019-05-12,74,False
2019-05-19,66,False
2019-05-26,63,False
2019-06-02,69,False
2019-06-09,74,False
2019-06-16,69,False
2019-06-23,69,False
2019-06-30,65,False
2019-07-07,71,False
2019-07-14,76,False
2019-07-21,81,False
2019-07-28,67,False
2019-08-04,70,False
2019-08-11,70,False
2019-08-18,68,False
2019-08-25,58,False
2019-09-01,65,False
2019-09-08,68,False
2019-09-15,63,False
2019-09-22,64,False
2019-09-29,58,False
2019-10-06,58,False
2019-10-13,54,False
2019-10-20,55,False
2019-10-27,57,False
2019-11-03,53,False
2019-11-10,47,False
2019-11-17,50,False
2019-11-24,52,False
2019-12-01,45,False
2019-12-08,49,False
2019-12-15,44,False
2019-12-22,46,False
2019-12-29,62,False
2020-01-05,50,False
2020-01-12,43,False
2020-01-19,52,False
2020-01-26,54,False
2020-02-02,57,False
2020-02-09,62,False
2020-02-16,60,False
2020-02-23,53,False
2020-03-01,54,False
2020-03-08,50,False
2020-03-15,62,False
2020-03-22,66,False
2020-03-29,78,False
2020-04-05,100,False
2020-04-12,93,False
2020-04-19,92,False
2020-04-26,95,True
