geoName,geoCode,fiori
Abruzzo,IT-65,73
Aosta,IT-23,98
Apulia,IT-75,69
Basilicata,IT-77,68
Calabria,IT-78,75
Campania,IT-72,71
Emilia-Romagna,IT-45,84
Friuli-Venezia Giulia,IT-36,91
Lazio,IT-62,82
Liguria,IT-42,81
Lombardy,IT-25,88
Marche,IT-57,73
Molise,IT-67,74
Piedmont,IT-21,89
Sardinia,IT-88,80
Sicily,IT-82,66
Trentino-Alto Adige/South Tyrol,IT-32,67
Tuscany,IT-52,80
Umbria,IT-55,86
Veneto,IT-34,100
