date,fiori,isPartial
2018-01-07,45,False
2018-01-14,49,False
2018-01-21,44,False
2018-01-28,70,False
2018-02-04,42,False
2018-02-11,57,False
2018-02-18,61,False
2018-02-25,60,False
2018-03-04,58,False
2018-03-11,55,False
2018-03-18,67,False
2018-03-25,73,False
2018-04-01,67,False
2018-04-08,80,False
2018-04-15,70,False
2018-04-22,100,False
2018-04-29,77,False
2018-05-06,76,False
2018-05-13,87,False
2018-05-20,66,False
2018-05-27,85,False
2018-06-03,80,False
2018-06-10,90,False
2018-06-17,84,False
2018-06-24,85,False
2018-07-01,74,False
2018-07-08,90,False
2018-07-15,86,False
2018-07-22,68,False
2018-07-29,76,False
2018-08-05,64,False
2018-08-12,52,False
2018-08-19,56,False
2018-08-26,61,False
2018-09-02,66,False
2018-09-09,67,False
2018-09-16,53,False
2018-09-23,46,False
2018-09-30,43,False
2018-10-07,38,False
2018-10-14,53,False
2018-10-21,61,False
2018-10-28,44,False
2018-11-04,60,False
2018-11-11,39,False
2018-11-18,43,False
2018-11-25,31,False
2018-12-02,37,False
2018-12-09,43,False
2018-12-16,47,False
2018-12-23,37,False
2018-12-30,42,False
2019-01-06,29,False
2019-01-13,46,False
2019-01-20,42,False
2019-01-27,38,False
2019-02-03,48,False
2019-02-10,58,False
2019-02-17,62,False
2019-02-24,48,False
2019-03-03,55,False
2019-03-10,69,False
2019-03-17,75,False
2019-03-24,66,False
2019-03-31,64,False
2019-04-07,66,False
2019-04-14,58,False
2019-04-21,65,False
2019-04-28,76,False
2019-05-05,73,False
2019-05-12,80,False
2019-05-19,85,False
2019-05-26,58,False
2019-06-02,76,False
2019-06-09,69,False
2019-06-16,73,False
2019-06-23,71,False
2019-06-30,70,False
2019-07-07,73,False
2019-07-14,83,False
2019-07-21,69,False
2019-07-28,64,False
2019-08-04,69,False
2019-08-11,53,False
2019-08-18,51,False
2019-08-25,60,False
2019-09-01,48,False
2019-09-08,71,False
2019-09-15,59,False
2019-09-22,61,False
2019-09-29,46,False
2019-10-06,49,False
2019-10-13,37,False
2019-10-20,44,False
2019-10-27,49,False
2019-11-03,42,False
2019-11-10,54,False
2019-11-17,40,False
2019-11-24,50,False
2019-12-01,40,False
2019-12-08,30,False
2019-12-15,44,False
2019-12-22,32,False
2019-12-29,33,False
2020-01-05,43,False
2020-01-12,44,False
2020-01-19,51,False
2020-01-26,28,False
2020-02-02,54,False
2020-02-09,63,False
2020-02-16,51,False
2020-02-23,38,False
2020-03-01,42,False
2020-03-08,52,False
2020-03-15,52,False
2020-03-22,47,False
2020-03-29,67,False
2020-04-05,71,False
2020-04-12,66,False
2020-04-19,79,False
2020-04-26,74,True
