date,fiori,isPartial
2018-01-07,50,False
2018-01-14,50,False
2018-01-21,52,False
2018-01-28,51,False
2018-02-04,58,False
2018-02-11,67,False
2018-02-18,60,False
2018-02-25,53,False
2018-03-04,67,False
2018-03-11,69,False
2018-03-18,69,False
2018-03-25,72,False
2018-04-01,81,False
2018-04-08,81,False
2018-04-15,86,False
2018-04-22,89,False
2018-04-29,94,False
2018-05-06,89,False
2018-05-13,80,False
2018-05-20,79,False
2018-05-27,77,False
2018-06-03,78,False
2018-06-10,79,False
2018-06-17,76,False
2018-06-24,82,False
2018-07-01,74,False
2018-07-08,74,False
2018-07-15,70,False
2018-07-22,67,False
2018-07-29,61,False
2018-08-05,57,False
2018-08-12,56,False
2018-08-19,60,False
2018-08-26,63,False
2018-09-02,58,False
2018-09-09,56,False
2018-09-16,58,False
2018-09-23,50,False
2018-09-30,50,False
2018-10-07,52,False
2018-10-14,50,False
2018-10-21,50,False
2018-10-28,47,False
2018-11-04,46,False
2018-11-11,48,False
2018-11-18,44,False
2018-11-25,46,False
2018-12-02,45,False
2018-12-09,41,False
2018-12-16,40,False
2018-12-23,40,False
2018-12-30,44,False
2019-01-06,40,False
2019-01-13,47,False
2019-01-20,45,False
2019-01-27,46,False
2019-02-03,53,False
2019-02-10,65,False
2019-02-17,57,False
2019-02-24,61,False
2019-03-03,78,False
2019-03-10,72,False
2019-03-17,77,False
2019-03-24,78,False
2019-03-31,74,False
2019-04-07,76,False
2019-04-14,69,False
2019-04-21,83,False
2019-04-28,87,False
2019-05-05,78,False
2019-05-12,74,False
2019-05-19,69,False
2019-05-26,64,False
2019-06-02,65,False
2019-06-09,68,False
2019-06-16,66,False
2019-06-23,63,False
2019-06-30,62,False
2019-07-07,65,False
2019-07-14,67,False
2019-07-21,66,False
2019-07-28,63,False
2019-08-04,65,False
2019-08-11,62,False
2019-08-18,59,False
2019-08-25,56,False
2019-09-01,55,False
2019-09-08,57,False
2019-09-15,56,False
2019-09-22,55,False
2019-09-29,55,False
2019-10-06,51,False
2019-10-13,52,False
2019-10-20,48,False
2019-10-27,52,False
2019-11-03,43,False
2019-11-10,43,False
2019-11-17,44,False
2019-11-24,43,False
2019-12-01,41,False
2019-12-08,40,False
2019-12-15,38,False
2019-12-22,40,False
2019-12-29,41,False
2020-01-05,41,False
2020-01-12,45,False
2020-01-19,46,False
2020-01-26,45,False
2020-02-02,52,False
2020-02-09,66,False
2020-02-16,54,False
2020-02-23,47,False
2020-03-01,57,False
2020-03-08,48,False
2020-03-15,59,False
2020-03-22,62,False
2020-03-29,78,False
2020-04-05,96,False
2020-04-12,99,False
2020-04-19,95,False
2020-04-26,100,True
