geoName,geoCode,torta nocciole
Abruzzo,IT-65,26
Aosta,IT-23,0
Apulia,IT-75,26
Basilicata,IT-77,31
Calabria,IT-78,13
Campania,IT-72,30
Emilia-Romagna,IT-45,28
Friuli-Venezia Giulia,IT-36,27
Lazio,IT-62,26
Liguria,IT-42,67
Lombardy,IT-25,44
Marche,IT-57,10
Molise,IT-67,0
Piedmont,IT-21,100
Sardinia,IT-88,25
Sicily,IT-82,26
Trentino-Alto Adige/South Tyrol,IT-32,34
Tuscany,IT-52,19
Umbria,IT-55,30
Veneto,IT-34,28
