geoName,geoCode,Arbeitsplatte Granit
Baden-Württemberg,DE-BW,83
Bavaria,DE-BY,76
Berlin,DE-BE,69
Brandenburg,DE-BB,0
Bremen,DE-HB,0
Hamburg,DE-HH,0
Hesse,DE-HE,85
Lower Saxony,DE-NI,75
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,92
Rhineland-Palatinate,DE-RP,100
Saarland,DE-SL,0
Saxony,DE-SN,39
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,53
Thuringia,DE-TH,0
