geoName,geoCode,Spengler
Burgenland,AT-1,90
Carinthia,AT-2,48
Lower Austria,AT-3,100
Salzburg,AT-5,38
Styria,AT-6,44
Tyrol,AT-7,34
Upper Austria,AT-4,49
Vienna,AT-9,46
Vorarlberg,AT-8,52
