geoName,geoCode,Spengler
Baden-Württemberg,DE-BW,96
Bavaria,DE-BY,100
Berlin,DE-BE,30
Brandenburg,DE-BB,29
Bremen,DE-HB,22
Hamburg,DE-HH,37
Hesse,DE-HE,49
Lower Saxony,DE-NI,30
Mecklenburg-Vorpommern,DE-MV,39
North Rhine-Westphalia,DE-NW,29
Rhineland-Palatinate,DE-RP,47
Saarland,DE-SL,56
Saxony,DE-SN,74
Saxony-Anhalt,DE-ST,50
Schleswig-Holstein,DE-SH,38
Thuringia,DE-TH,45
