geoName,geoCode,torta arancia
Abruzzo,IT-65,40
Aosta,IT-23,0
Apulia,IT-75,71
Basilicata,IT-77,76
Calabria,IT-78,95
Campania,IT-72,45
Emilia-Romagna,IT-45,45
Friuli-Venezia Giulia,IT-36,45
Lazio,IT-62,42
Liguria,IT-42,43
Lombardy,IT-25,47
Marche,IT-57,51
Molise,IT-67,51
Piedmont,IT-21,55
Sardinia,IT-88,99
Sicily,IT-82,100
Trentino-Alto Adige/South Tyrol,IT-32,29
Tuscany,IT-52,57
Umbria,IT-55,47
Veneto,IT-34,50
