date,ristorante,isPartial
2018-01-07,42,False
2018-01-14,45,False
2018-01-21,43,False
2018-01-28,44,False
2018-02-04,39,False
2018-02-11,50,False
2018-02-18,41,False
2018-02-25,33,False
2018-03-04,43,False
2018-03-11,50,False
2018-03-18,51,False
2018-03-25,60,False
2018-04-01,59,False
2018-04-08,43,False
2018-04-15,46,False
2018-04-22,52,False
2018-04-29,55,False
2018-05-06,44,False
2018-05-13,45,False
2018-05-20,48,False
2018-05-27,47,False
2018-06-03,43,False
2018-06-10,48,False
2018-06-17,55,False
2018-06-24,55,False
2018-07-01,51,False
2018-07-08,59,False
2018-07-15,60,False
2018-07-22,61,False
2018-07-29,65,False
2018-08-05,80,False
2018-08-12,87,False
2018-08-19,77,False
2018-08-26,58,False
2018-09-02,59,False
2018-09-09,53,False
2018-09-16,52,False
2018-09-23,51,False
2018-09-30,42,False
2018-10-07,45,False
2018-10-14,46,False
2018-10-21,44,False
2018-10-28,55,False
2018-11-04,49,False
2018-11-11,47,False
2018-11-18,44,False
2018-11-25,47,False
2018-12-02,51,False
2018-12-09,52,False
2018-12-16,54,False
2018-12-23,64,False
2018-12-30,63,False
2019-01-06,45,False
2019-01-13,45,False
2019-01-20,44,False
2019-01-27,39,False
2019-02-03,45,False
2019-02-10,54,False
2019-02-17,48,False
2019-02-24,48,False
2019-03-03,45,False
2019-03-10,44,False
2019-03-17,51,False
2019-03-24,56,False
2019-03-31,50,False
2019-04-07,51,False
2019-04-14,62,False
2019-04-21,75,False
2019-04-28,54,False
2019-05-05,41,False
2019-05-12,47,False
2019-05-19,47,False
2019-05-26,44,False
2019-06-02,50,False
2019-06-09,51,False
2019-06-16,56,False
2019-06-23,59,False
2019-06-30,60,False
2019-07-07,58,False
2019-07-14,66,False
2019-07-21,67,False
2019-07-28,63,False
2019-08-04,77,False
2019-08-11,100,False
2019-08-18,86,False
2019-08-25,65,False
2019-09-01,56,False
2019-09-08,61,False
2019-09-15,54,False
2019-09-22,49,False
2019-09-29,46,False
2019-10-06,50,False
2019-10-13,53,False
2019-10-20,53,False
2019-10-27,59,False
2019-11-03,52,False
2019-11-10,53,False
2019-11-17,43,False
2019-11-24,51,False
2019-12-01,56,False
2019-12-08,55,False
2019-12-15,55,False
2019-12-22,66,False
2019-12-29,69,False
2020-01-05,50,False
2020-01-12,49,False
2020-01-19,44,False
2020-01-26,41,False
2020-02-02,43,False
2020-02-09,57,False
2020-02-16,48,False
2020-02-23,38,False
2020-03-01,35,False
2020-03-08,12,False
2020-03-15,6,False
2020-03-22,6,False
2020-03-29,7,False
2020-04-05,9,False
2020-04-12,9,False
2020-04-19,11,False
2020-04-26,13,True
