geoName,geoCode,ristorante
Abruzzo,IT-65,73
Aosta,IT-23,100
Apulia,IT-75,42
Basilicata,IT-77,38
Calabria,IT-78,31
Campania,IT-72,48
Emilia-Romagna,IT-45,90
Friuli-Venezia Giulia,IT-36,60
Lazio,IT-62,79
Liguria,IT-42,71
Lombardy,IT-25,77
Marche,IT-57,87
Molise,IT-67,46
Piedmont,IT-21,76
Sardinia,IT-88,46
Sicily,IT-82,38
Trentino-Alto Adige/South Tyrol,IT-32,63
Tuscany,IT-52,83
Umbria,IT-55,71
Veneto,IT-34,76
