geoName,geoCode,Gartenbau
Burgenland,AT-1,68
Carinthia,AT-2,41
Lower Austria,AT-3,55
Salzburg,AT-5,21
Styria,AT-6,63
Tyrol,AT-7,44
Upper Austria,AT-4,39
Vienna,AT-9,32
Vorarlberg,AT-8,100
