date,Gartenbau,isPartial
2018-01-07,40,False
2018-01-14,30,False
2018-01-21,79,False
2018-01-28,20,False
2018-02-04,21,False
2018-02-11,41,False
2018-02-18,60,False
2018-02-25,60,False
2018-03-04,80,False
2018-03-11,59,False
2018-03-18,39,False
2018-03-25,33,False
2018-04-01,44,False
2018-04-08,40,False
2018-04-15,49,False
2018-04-22,29,False
2018-04-29,0,False
2018-05-06,32,False
2018-05-13,41,False
2018-05-20,64,False
2018-05-27,21,False
2018-06-03,40,False
2018-06-10,89,False
2018-06-17,20,False
2018-06-24,69,False
2018-07-01,32,False
2018-07-08,33,False
2018-07-15,45,False
2018-07-22,68,False
2018-07-29,24,False
2018-08-05,23,False
2018-08-12,36,False
2018-08-19,68,False
2018-08-26,43,False
2018-09-02,74,False
2018-09-09,31,False
2018-09-16,41,False
2018-09-23,41,False
2018-09-30,30,False
2018-10-07,19,False
2018-10-14,38,False
2018-10-21,29,False
2018-10-28,60,False
2018-11-04,29,False
2018-11-11,28,False
2018-11-18,44,False
2018-11-25,36,False
2018-12-02,37,False
2018-12-09,18,False
2018-12-16,19,False
2018-12-23,24,False
2018-12-30,23,False
2019-01-06,20,False
2019-01-13,39,False
2019-01-20,58,False
2019-01-27,39,False
2019-02-03,31,False
2019-02-10,20,False
2019-02-17,40,False
2019-02-24,19,False
2019-03-03,19,False
2019-03-10,47,False
2019-03-17,70,False
2019-03-24,50,False
2019-03-31,100,False
2019-04-07,39,False
2019-04-14,55,False
2019-04-21,65,False
2019-04-28,30,False
2019-05-05,67,False
2019-05-12,29,False
2019-05-19,67,False
2019-05-26,40,False
2019-06-02,81,False
2019-06-09,42,False
2019-06-16,21,False
2019-06-23,41,False
2019-06-30,32,False
2019-07-07,32,False
2019-07-14,67,False
2019-07-21,70,False
2019-07-28,23,False
2019-08-04,35,False
2019-08-11,35,False
2019-08-18,56,False
2019-08-25,32,False
2019-09-01,79,False
2019-09-08,41,False
2019-09-15,19,False
2019-09-22,28,False
2019-09-29,37,False
2019-10-06,55,False
2019-10-13,27,False
2019-10-20,54,False
2019-10-27,28,False
2019-11-03,61,False
2019-11-10,87,False
2019-11-17,79,False
2019-11-24,35,False
2019-12-01,35,False
2019-12-08,44,False
2019-12-15,64,False
2019-12-22,23,False
2019-12-29,46,False
2020-01-05,30,False
2020-01-12,43,False
2020-01-19,17,False
2020-01-26,43,False
2020-02-02,37,False
2020-02-09,54,False
2020-02-16,35,False
2020-02-23,41,False
2020-03-01,74,False
2020-03-08,48,False
2020-03-15,0,False
2020-03-22,62,False
2020-03-29,73,False
2020-04-05,40,False
2020-04-12,19,False
2020-04-19,37,False
2020-04-26,84,False
2020-05-03,63,False
2020-05-10,18,False
2020-05-17,19,False
2020-05-24,53,False
2020-05-31,35,False
2020-06-07,18,False
2020-06-14,34,False
2020-06-21,35,False
2020-06-28,53,False
2020-07-05,46,False
