geoName,geoCode,Florist
Aargau,CH-AG,29
Appenzell Innerrhoden,CH-AI,0
Appenzell Outer Rhodes,CH-AR,0
Basel-Landschaft,CH-BL,65
Basel-Stadt,CH-BS,89
Canton of Bern,CH-BE,34
Canton of Fribourg,CH-FR,0
Canton of Glarus,CH-GL,0
Canton of Jura,CH-JU,0
Canton of Neuchâtel,CH-NE,0
Canton of Obwalden,CH-OW,0
Canton of Schaffhausen,CH-SH,0
Canton of Schwyz,CH-SZ,0
Canton of Solothurn,CH-SO,43
Canton of Uri,CH-UR,0
Canton of Zug,CH-ZG,100
Geneva,CH-GE,51
Grisons,CH-GR,0
Lucerne,CH-LU,34
Nidwalden,CH-NW,0
St. Gallen,CH-SG,94
Thurgau,CH-TG,44
Ticino,CH-TI,21
Valais,CH-VS,23
Vaud,CH-VD,17
Zurich,CH-ZH,65
