date,Schimmel,isPartial
2018-01-07,56,False
2018-01-14,64,False
2018-01-21,27,False
2018-01-28,28,False
2018-02-04,28,False
2018-02-11,28,False
2018-02-18,19,False
2018-02-25,56,False
2018-03-04,36,False
2018-03-11,27,False
2018-03-18,37,False
2018-03-25,19,False
2018-04-01,50,False
2018-04-08,37,False
2018-04-15,38,False
2018-04-22,10,False
2018-04-29,29,False
2018-05-06,19,False
2018-05-13,28,False
2018-05-20,19,False
2018-05-27,27,False
2018-06-03,36,False
2018-06-10,18,False
2018-06-17,27,False
2018-06-24,45,False
2018-07-01,36,False
2018-07-08,28,False
2018-07-15,41,False
2018-07-22,10,False
2018-07-29,22,False
2018-08-05,60,False
2018-08-12,28,False
2018-08-19,73,False
2018-08-26,18,False
2018-09-02,27,False
2018-09-09,54,False
2018-09-16,53,False
2018-09-23,0,False
2018-09-30,37,False
2018-10-07,29,False
2018-10-14,28,False
2018-10-21,36,False
2018-10-28,17,False
2018-11-04,40,False
2018-11-11,27,False
2018-11-18,63,False
2018-11-25,39,False
2018-12-02,37,False
2018-12-09,75,False
2018-12-16,68,False
2018-12-23,63,False
2018-12-30,51,False
2019-01-06,50,False
2019-01-13,36,False
2019-01-20,68,False
2019-01-27,32,False
2019-02-03,28,False
2019-02-10,38,False
2019-02-17,9,False
2019-02-24,27,False
2019-03-03,24,False
2019-03-10,44,False
2019-03-17,0,False
2019-03-24,36,False
2019-03-31,26,False
2019-04-07,43,False
2019-04-14,10,False
2019-04-21,20,False
2019-04-28,40,False
2019-05-05,44,False
2019-05-12,27,False
2019-05-19,9,False
2019-05-26,38,False
2019-06-02,35,False
2019-06-09,18,False
2019-06-16,28,False
2019-06-23,38,False
2019-06-30,45,False
2019-07-07,45,False
2019-07-14,30,False
2019-07-21,54,False
2019-07-28,23,False
2019-08-04,21,False
2019-08-11,9,False
2019-08-18,54,False
2019-08-25,27,False
2019-09-01,57,False
2019-09-08,18,False
2019-09-15,44,False
2019-09-22,35,False
2019-09-29,44,False
2019-10-06,45,False
2019-10-13,36,False
2019-10-20,51,False
2019-10-27,59,False
2019-11-03,59,False
2019-11-10,44,False
2019-11-17,43,False
2019-11-24,58,False
2019-12-01,68,False
2019-12-08,42,False
2019-12-15,44,False
2019-12-22,100,False
2019-12-29,42,False
2020-01-05,51,False
2020-01-12,24,False
2020-01-19,58,False
2020-01-26,41,False
2020-02-02,25,False
2020-02-09,42,False
2020-02-16,43,False
2020-02-23,24,False
2020-03-01,40,False
2020-03-08,31,False
2020-03-15,40,False
2020-03-22,23,False
2020-03-29,24,False
2020-04-05,96,False
2020-04-12,26,False
2020-04-19,58,False
2020-04-26,23,False
2020-05-03,16,False
2020-05-10,0,False
2020-05-17,25,False
2020-05-24,24,False
2020-05-31,8,False
2020-06-07,23,False
2020-06-14,39,False
2020-06-21,33,False
2020-06-28,32,False
2020-07-05,50,False
