ticket_taxonomy_tag_name,ticket_geo_region_name,Year,Month,No_of_tickets,Index,Country selected
Abito da sposa,Abruzzo,2018.0,1.0,1.0,0.0,0
Abito da sposa,Abruzzo,2018.0,2.0,0.0,0.0,0
Abito da sposa,Abruzzo,2018.0,3.0,0.0,0.0,0
Abito da sposa,Abruzzo,2018.0,4.0,0.0,0.0,0
Abito da sposa,Abruzzo,2018.0,5.0,0.0,0.0,0
Abito da sposa,Abruzzo,2018.0,6.0,0.0,0.0,0
Abito da sposa,Abruzzo,2018.0,7.0,0.0,0.0,0
Abito da sposa,Abruzzo,2018.0,8.0,1.0,0.0,0
Abito da sposa,Abruzzo,2018.0,9.0,2.0,0.0,0
Abito da sposa,Abruzzo,2018.0,10.0,0.0,0.0,0
Abito da sposa,Abruzzo,2018.0,11.0,0.0,0.0,0
Abito da sposa,Abruzzo,2018.0,12.0,0.0,0.0,0
Abito da sposa,Abruzzo,2019.0,1.0,1.0,0.0,0
Abito da sposa,Abruzzo,2019.0,2.0,1.0,0.0,0
Abito da sposa,Abruzzo,2019.0,3.0,1.0,0.0,0
Abito da sposa,Abruzzo,2019.0,4.0,0.0,0.0,0
Abito da sposa,Abruzzo,2019.0,5.0,0.0,0.0,0
Abito da sposa,Abruzzo,2019.0,6.0,0.0,0.0,0
Abito da sposa,Abruzzo,2019.0,7.0,1.0,0.0,0
Abito da sposa,Abruzzo,2019.0,8.0,1.0,0.0,0
Abito da sposa,Abruzzo,2019.0,9.0,2.0,0.0,0
Abito da sposa,Abruzzo,2019.0,10.0,0.0,0.0,0
Abito da sposa,Abruzzo,2019.0,11.0,0.0,0.0,0
Abito da sposa,Abruzzo,2019.0,12.0,0.0,0.0,0
Abito da sposa,Abruzzo,2020.0,1.0,0.0,0.0,0
Abito da sposa,Abruzzo,2020.0,2.0,0.0,0.0,0
Abito da sposa,Abruzzo,2020.0,3.0,0.0,0.0,0
Abito da sposa,Abruzzo,2020.0,4.0,0.0,0.0,0
Abito da sposa,Abruzzo,2020.0,5.0,0.0,0.0,0
Abito da sposa,Basilicata,2018.0,1.0,0.0,0.0,0
Abito da sposa,Basilicata,2018.0,2.0,0.0,0.0,0
Abito da sposa,Basilicata,2018.0,3.0,0.0,0.0,0
Abito da sposa,Basilicata,2018.0,4.0,0.0,0.0,0
Abito da sposa,Basilicata,2018.0,5.0,0.0,0.0,0
Abito da sposa,Basilicata,2018.0,6.0,0.0,0.0,0
Abito da sposa,Basilicata,2018.0,7.0,0.0,0.0,0
Abito da sposa,Basilicata,2018.0,8.0,0.0,0.0,0
Abito da sposa,Basilicata,2018.0,9.0,0.0,0.0,0
Abito da sposa,Basilicata,2018.0,10.0,0.0,0.0,0
Abito da sposa,Basilicata,2018.0,11.0,1.0,0.0,0
Abito da sposa,Basilicata,2018.0,12.0,0.0,0.0,0
Abito da sposa,Basilicata,2019.0,1.0,0.0,0.0,0
Abito da sposa,Basilicata,2019.0,2.0,0.0,0.0,0
Abito da sposa,Basilicata,2019.0,3.0,0.0,0.0,0
Abito da sposa,Basilicata,2019.0,4.0,0.0,0.0,0
Abito da sposa,Basilicata,2019.0,5.0,0.0,0.0,0
Abito da sposa,Basilicata,2019.0,6.0,1.0,0.0,0
Abito da sposa,Basilicata,2019.0,7.0,0.0,0.0,0
Abito da sposa,Basilicata,2019.0,8.0,0.0,0.0,0
Abito da sposa,Basilicata,2019.0,9.0,0.0,0.0,0
Abito da sposa,Basilicata,2019.0,10.0,0.0,0.0,0
Abito da sposa,Basilicata,2019.0,11.0,0.0,0.0,0
Abito da sposa,Basilicata,2019.0,12.0,0.0,0.0,0
Abito da sposa,Basilicata,2020.0,1.0,0.0,0.0,0
Abito da sposa,Basilicata,2020.0,2.0,0.0,0.0,0
Abito da sposa,Basilicata,2020.0,3.0,0.0,0.0,0
Abito da sposa,Basilicata,2020.0,4.0,0.0,0.0,0
Abito da sposa,Basilicata,2020.0,5.0,0.0,0.0,0
Abito da sposa,Calabria,2018.0,1.0,0.0,0.0,0
Abito da sposa,Calabria,2018.0,2.0,1.0,0.0,0
Abito da sposa,Calabria,2018.0,3.0,0.0,0.0,0
Abito da sposa,Calabria,2018.0,4.0,0.0,0.0,0
Abito da sposa,Calabria,2018.0,5.0,0.0,0.0,0
Abito da sposa,Calabria,2018.0,6.0,0.0,0.0,0
Abito da sposa,Calabria,2018.0,7.0,0.0,0.0,0
Abito da sposa,Calabria,2018.0,8.0,0.0,0.0,0
Abito da sposa,Calabria,2018.0,9.0,1.0,0.0,0
Abito da sposa,Calabria,2018.0,10.0,0.0,0.0,0
Abito da sposa,Calabria,2018.0,11.0,0.0,0.0,0
Abito da sposa,Calabria,2018.0,12.0,0.0,0.0,0
Abito da sposa,Calabria,2019.0,1.0,0.0,0.0,0
Abito da sposa,Calabria,2019.0,2.0,0.0,0.0,0
