Year,Region,Serving_type,Distribution
2018,Abruzzo,Vorrei solo la consegna del cibo (catering d'asporto),NA
2018,Abruzzo,Servizio al tavolo,NA
2018,Abruzzo,Isole (più tavoli),NA
2018,Abruzzo,Buffet (unico tavolo),NA
2018,Abruzzo,"Non lo so, vorrei un consiglio dal professionista",NA
2018,Abruzzo,Servizio al vassoio,NA
2018,Basilicata,Vorrei solo la consegna del cibo (catering d'asporto),NA
2018,Basilicata,Servizio al tavolo,NA
2018,Basilicata,Isole (più tavoli),NA
2018,Basilicata,Buffet (unico tavolo),NA
2018,Basilicata,"Non lo so, vorrei un consiglio dal professionista",NA
2018,Basilicata,Servizio al vassoio,NA
2018,Calabria,Vorrei solo la consegna del cibo (catering d'asporto),NA
2018,Calabria,Servizio al tavolo,NA
2018,Calabria,Isole (più tavoli),NA
2018,Calabria,Buffet (unico tavolo),NA
2018,Calabria,"Non lo so, vorrei un consiglio dal professionista",NA
2018,Calabria,Servizio al vassoio,NA
2018,Campania,Vorrei solo la consegna del cibo (catering d'asporto),0.03
2018,Campania,Servizio al tavolo,0.48
2018,Campania,Isole (più tavoli),0.17
2018,Campania,Buffet (unico tavolo),0.17
2018,Campania,"Non lo so, vorrei un consiglio dal professionista",0.13
2018,Campania,Servizio al vassoio,0.01
2018,Emilia-Romagna,Vorrei solo la consegna del cibo (catering d'asporto),0.05
2018,Emilia-Romagna,Servizio al tavolo,0.37
2018,Emilia-Romagna,Isole (più tavoli),0.14
2018,Emilia-Romagna,Buffet (unico tavolo),0.22
2018,Emilia-Romagna,"Non lo so, vorrei un consiglio dal professionista",0.20
2018,Emilia-Romagna,Servizio al vassoio,0.02
2018,Friuli Venezia Giulia,Vorrei solo la consegna del cibo (catering d'asporto),0.14
2018,Friuli Venezia Giulia,Servizio al tavolo,0.28
2018,Friuli Venezia Giulia,Isole (più tavoli),0.14
2018,Friuli Venezia Giulia,Buffet (unico tavolo),0.28
2018,Friuli Venezia Giulia,"Non lo so, vorrei un consiglio dal professionista",0.16
2018,Friuli Venezia Giulia,Servizio al vassoio,0.00
2018,Lazio,Vorrei solo la consegna del cibo (catering d'asporto),0.13
2018,Lazio,Servizio al tavolo,0.29
2018,Lazio,Isole (più tavoli),0.26
