Year,ticket_geo_region_name,Style_type,Distribution
2018,Abruzzo,matrimonio country chic,0.0
2018,Abruzzo,matrimonio bucolico,0.0
2018,Abruzzo,matrimonio originale,0.0
2018,Abruzzo,matrimonio romantico,0.0
2018,Abruzzo,matrimonio elegante,0.0
2018,Abruzzo,matrimonio in spiaggia,0.0
2018,Abruzzo,matrimonio tradizionale,0.0
2018,Aosta,matrimonio country chic,0.0
2018,Aosta,matrimonio bucolico,0.0
2018,Aosta,matrimonio originale,0.0
2018,Aosta,matrimonio romantico,0.0
2018,Aosta,matrimonio elegante,0.0
2018,Aosta,matrimonio in spiaggia,0.0
2018,Aosta,matrimonio tradizionale,0.0
2018,Apulia,matrimonio country chic,0.0
2018,Apulia,matrimonio bucolico,0.0
2018,Apulia,matrimonio originale,0.0
2018,Apulia,matrimonio romantico,0.0
2018,Apulia,matrimonio elegante,0.5
2018,Apulia,matrimonio in spiaggia,0.5
2018,Apulia,matrimonio tradizionale,0.0
2018,Basilicata,matrimonio country chic,0.0
2018,Basilicata,matrimonio bucolico,0.0
2018,Basilicata,matrimonio originale,0.0
2018,Basilicata,matrimonio romantico,0.0
2018,Basilicata,matrimonio elegante,0.0
2018,Basilicata,matrimonio in spiaggia,0.0
2018,Basilicata,matrimonio tradizionale,0.0
2018,Calabria,matrimonio country chic,0.0
2018,Calabria,matrimonio bucolico,0.0
2018,Calabria,matrimonio originale,0.0
2018,Calabria,matrimonio romantico,0.0
2018,Calabria,matrimonio elegante,1.0
2018,Calabria,matrimonio in spiaggia,0.0
2018,Calabria,matrimonio tradizionale,0.0
2018,Campania,matrimonio country chic,0.0
2018,Campania,matrimonio bucolico,0.0
2018,Campania,matrimonio originale,0.0
2018,Campania,matrimonio romantico,0.0
2018,Campania,matrimonio elegante,0.61
2018,Campania,matrimonio in spiaggia,0.39
2018,Campania,matrimonio tradizionale,0.0
2018,Emilia-Romagna,matrimonio country chic,0.0
2018,Emilia-Romagna,matrimonio bucolico,0.0
2018,Emilia-Romagna,matrimonio originale,0.0
2018,Emilia-Romagna,matrimonio romantico,0.0
2018,Emilia-Romagna,matrimonio elegante,0.58
2018,Emilia-Romagna,matrimonio in spiaggia,0.42
2018,Emilia-Romagna,matrimonio tradizionale,0.0
2018,Friuli-Venezia Giulia,matrimonio country chic,0.0
2018,Friuli-Venezia Giulia,matrimonio bucolico,0.0
2018,Friuli-Venezia Giulia,matrimonio originale,0.0
2018,Friuli-Venezia Giulia,matrimonio romantico,0.0
2018,Friuli-Venezia Giulia,matrimonio elegante,0.0
2018,Friuli-Venezia Giulia,matrimonio in spiaggia,0.0
2018,Friuli-Venezia Giulia,matrimonio tradizionale,0.0
2018,Italy,matrimonio country chic,0.12
2018,Italy,matrimonio bucolico,0.02
2018,Italy,matrimonio originale,0.14
2018,Italy,matrimonio romantico,0.1
2018,Italy,matrimonio elegante,0.35
2018,Italy,matrimonio in spiaggia,0.23
2018,Italy,matrimonio tradizionale,0.04
2018,Lazio,matrimonio country chic,0.28
2018,Lazio,matrimonio bucolico,0.0
2018,Lazio,matrimonio originale,0.0
2018,Lazio,matrimonio romantico,0.0
2018,Lazio,matrimonio elegante,0.46
