geoName,geoCode,gazon artificiel
Brittany,FR-E,17.24137931034483
Centre-Val de Loire,FR-F,71.26436781609196
Corsica,FR-H,0.0
Pays de la Loire,FR-R,54.02298850574713
Provence-Alpes-Côte d'Azur,FR-U,51.724137931034484
Île-de-France,FR-J,40.229885057471265
Grand-est,FR-GE,95.01915708812261
Hauts-de-france,FR-HF,42.5287356321839
Normandie,FR-NO,28.160919540229884
Bourgogne-Franche-Comté,FR-BFC,80.45977011494253
Nouvelle-Aquitaine,FR-NA,44.061302681992345
Occitanie,FR-OC,51.724137931034484
Auvergne-Rhône-Alpes,FR-AR,100.0
