geoName,geoCode,Architecte paysagiste
Brittany,FR-E,100.0
Centre-Val de Loire,FR-F,0.0
Corsica,FR-H,0.0
Pays de la Loire,FR-R,68.29268292682927
Provence-Alpes-Côte d'Azur,FR-U,62.19512195121951
Île-de-France,FR-J,43.90243902439025
Grand-est,FR-GE,29.67479674796748
Hauts-de-france,FR-HF,23.78048780487805
Normandie,FR-NO,0.0
Bourgogne-Franche-Comté,FR-BFC,0.0
Nouvelle-Aquitaine,FR-NA,76.42276422764228
Occitanie,FR-OC,17.073170731707318
Auvergne-Rhône-Alpes,FR-AR,37.19512195121951
