date,Architecte paysagiste
2018-01-07,0.47
2018-01-14,0.0
2018-01-21,0.92
2018-01-28,0.0
2018-02-04,0.0
2018-02-11,0.48
2018-02-18,0.0
2018-02-25,0.47
2018-03-04,0.47
2018-03-11,0.47
2018-03-18,0.48
2018-03-25,0.0
2018-04-01,0.5
2018-04-08,0.48
2018-04-15,0.0
2018-04-22,0.0
2018-04-29,0.45
2018-05-06,0.46
2018-05-13,0.004752475247524752
2018-05-20,0.0049504950495049506
2018-05-27,0.0
2018-06-03,0.45
2018-06-10,0.43
2018-06-17,0.47
2018-06-24,0.0
2018-07-01,0.0
2018-07-08,0.0
2018-07-15,0.45
2018-07-22,0.0
2018-07-29,0.45
2018-08-05,0.0
2018-08-12,0.0
2018-08-19,0.45495049504950497
2018-08-26,0.46
2018-09-02,0.92
2018-09-09,0.45
2018-09-16,0.0
2018-09-23,0.0
2018-09-30,0.004752475247524752
2018-10-07,0.5
2018-10-14,0.009900990099009901
2018-10-21,0.0049504950495049506
2018-10-28,0.47
2018-11-04,0.0
2018-11-11,0.0
2018-11-18,0.0
2018-11-25,0.46
2018-12-02,0.47
2018-12-09,0.0
2018-12-16,0.0
2018-12-23,0.0
2018-12-30,0.51
2019-01-06,0.47
2019-01-13,0.46
2019-01-20,0.45
2019-01-27,0.45
2019-02-03,0.4643564356435643
2019-02-10,0.0
2019-02-17,1.0
2019-02-24,0.52
2019-03-03,0.48
2019-03-10,0.47
2019-03-17,0.0
2019-03-24,0.0
2019-03-31,0.0
2019-04-07,0.41
2019-04-14,0.0048514851485148515
2019-04-21,0.41
2019-04-28,0.0
2019-05-05,0.004257425742574258
2019-05-12,0.0
2019-05-19,0.39
2019-05-26,0.39999999999999997
2019-06-02,0.37
2019-06-09,0.0
2019-06-16,0.39
2019-06-23,0.0
2019-06-30,0.004455445544554456
2019-07-07,0.36
2019-07-14,0.37455445544554455
2019-07-21,0.0
2019-07-28,0.0
2019-08-04,0.39999999999999997
2019-08-11,0.0
2019-08-18,0.39999999999999997
2019-08-25,0.38
2019-09-01,0.38
2019-09-08,0.38435643564356436
2019-09-15,0.0
2019-09-22,0.53
2019-09-29,0.35000000000000003
2019-10-06,0.38
2019-10-13,0.004257425742574258
2019-10-20,0.0
2019-10-27,0.37
2019-11-03,0.35000000000000003
2019-11-10,0.0
2019-11-17,0.394059405940594
2019-11-24,0.0
2019-12-01,0.0
2019-12-08,0.0038613861386138613
2019-12-15,0.0040594059405940595
2019-12-22,0.41
2019-12-29,0.0
2020-01-05,0.36386138613861385
2020-01-12,0.69
2020-01-19,0.36
2020-01-26,0.36
2020-02-02,0.36
2020-02-09,0.0
2020-02-16,0.36
2020-02-23,0.0
2020-03-01,0.0
2020-03-08,0.0
2020-03-15,0.0
2020-03-22,0.32
2020-03-29,0.0
2020-04-05,0.31
2020-04-12,0.0
2020-04-19,0.0
2020-04-26,0.3
2020-05-03,0.31326732673267327
2020-05-10,0.0
2020-05-17,0.34376237623762373
2020-05-24,0.32999999999999996
2020-05-31,0.0
2020-06-07,0.32
2020-06-14,0.6599999999999999
2020-06-21,0.0
