date,Energiezertifizierer,Dachdecker,Elektriker,Solar,Fenster,Smart Home,bauen,Einbruch,Schlüsseldienst,Blumen
2018-01-07,0.0,11.371857755977928,9.85561005518087,32.599325567136724,19,1,17,2,1,15
2018-01-14,0.0,6.064990803188228,9.85561005518087,30.324954015941138,19,2,19,1,0,16
2018-01-21,0.0,7.5812385039852845,9.85561005518087,33.35744941753525,20,1,16,1,1,19
2018-01-28,0.0,2.2743715511955855,8.339362354383812,38.664316370324954,19,1,16,1,1,19
2018-02-04,0.0,3.032495401594114,6.064990803188228,30.324954015941138,20,2,15,0,1,20
2018-02-11,0.0,3.032495401594114,8.339362354383812,29.566830165542612,14,1,21,0,1,26
2018-02-18,0.0,4.548743102391171,6.823114653586757,31.083077866339668,15,1,17,1,0,19
2018-02-25,0.0,4.548743102391171,7.5812385039852845,33.35744941753525,21,1,17,1,1,23
2018-03-04,0.0,5.306866952789699,12.129981606376456,34.87369711833231,20,1,18,0,1,27
2018-03-11,0.0,3.032495401594114,9.097486204782342,31.083077866339668,22,1,19,1,0,25
2018-03-18,0.0,3.7906192519926423,7.5812385039852845,39.42244022072348,17,1,16,2,1,23
2018-03-25,0.0,3.7906192519926423,6.823114653586757,38.664316370324954,16,1,21,1,2,24
2018-04-01,0.0,5.306866952789699,11.371857755977928,37.90619251992642,23,1,22,2,0,28
2018-04-08,0.0,3.032495401594114,8.339362354383812,35.631820968730835,20,1,19,1,1,27
2018-04-15,0.0,3.032495401594114,9.85561005518087,48.51992642550582,19,1,20,0,0,28
2018-04-22,0.0,3.7906192519926423,9.097486204782342,43.213059472716125,19,1,18,1,1,28
2018-04-29,0.0,4.548743102391171,9.097486204782342,42.45493562231759,19,1,19,1,1,30
2018-05-06,0.0,6.823114653586757,7.5812385039852845,47.00367872470876,17,0,18,0,1,34
2018-05-13,0.0,6.064990803188228,7.5812385039852845,40.18056407112201,17,1,17,1,1,29
2018-05-20,0.0,3.032495401594114,6.823114653586757,37.90619251992642,20,1,22,0,0,22
2018-05-27,0.0,6.064990803188228,6.823114653586757,50.03617412630288,16,2,17,1,1,22
2018-06-03,0.0,5.306866952789699,7.5812385039852845,49.27805027590435,18,1,17,1,1,23
2018-06-10,0.0,7.5812385039852845,8.339362354383812,40.18056407112201,18,0,17,1,1,23
2018-06-17,0.0,3.7906192519926423,7.5812385039852845,34.87369711833231,15,1,14,0,1,21
2018-06-24,0.0,3.7906192519926423,3.7906192519926423,38.664316370324954,14,1,13,0,1,18
2018-07-01,0.0,4.548743102391171,9.097486204782342,47.00367872470876,18,1,15,1,1,19
2018-07-08,0.0,4.548743102391171,7.5812385039852845,50.03617412630288,19,2,16,1,1,20
2018-07-15,0.0,3.032495401594114,6.823114653586757,50.03617412630288,18,1,18,1,1,20
2018-07-22,0.0,4.548743102391171,7.5812385039852845,47.761802575107296,17,1,18,0,1,17
2018-07-29,0.0,3.032495401594114,3.7906192519926423,45.48743102391171,16,0,22,1,1,17
2018-08-05,0.0,4.548743102391171,6.064990803188228,41.696811771919066,20,2,21,1,1,21
2018-08-12,0.0,6.064990803188228,9.85561005518087,40.93868792152054,18,1,19,1,1,22
2018-08-19,0.0,6.064990803188228,9.097486204782342,44.72930717351318,21,1,16,1,2,19
2018-08-26,0.0,2.2743715511955855,7.5812385039852845,31.083077866339668,17,1,18,1,1,22
2018-09-02,0.0,3.7906192519926423,11.371857755977928,37.90619251992642,18,1,17,0,0,16
2018-09-09,0.0,6.064990803188228,5.306866952789699,36.38994481912937,20,1,13,1,1,20
2018-09-16,0.0,3.032495401594114,6.064990803188228,33.35744941753525,21,2,19,0,1,16
2018-09-23,0.0,6.823114653586757,7.5812385039852845,31.083077866339668,20,1,19,1,1,18
2018-09-30,0.0,3.032495401594114,12.129981606376456,33.35744941753525,18,1,18,0,1,15
2018-10-07,0.0,3.032495401594114,7.5812385039852845,37.148068669527895,18,1,12,1,1,13
2018-10-14,0.0,3.032495401594114,9.097486204782342,34.87369711833231,18,1,18,0,1,18
2018-10-21,0.0,6.064990803188228,9.097486204782342,36.38994481912937,18,2,16,1,1,20
2018-10-28,0.0,9.097486204782342,12.888105456774984,25.01808706315144,20,1,17,1,1,19
2018-11-04,0.0,3.032495401594114,9.85561005518087,29.566830165542612,21,1,19,2,1,17
2018-11-11,0.0,5.306866952789699,7.5812385039852845,38.664316370324954,19,2,18,2,1,18
2018-11-18,0.0,6.064990803188228,11.371857755977928,33.35744941753525,17,2,17,1,1,21
2018-11-25,0.0,5.306866952789699,8.339362354383812,44.72930717351318,18,1,15,1,1,19
2018-12-02,0.0,6.823114653586757,9.85561005518087,34.87369711833231,17,1,15,1,2,15
2018-12-09,0.0,3.7906192519926423,10.613733905579398,26.534334763948497,18,1,13,1,1,14
2018-12-16,0.0,5.306866952789699,9.097486204782342,34.11557326793378,18,1,13,1,2,17
2018-12-23,0.0,3.032495401594114,6.064990803188228,23.50183936235438,12,0,18,1,1,14
2018-12-30,0.0,3.7906192519926423,9.85561005518087,29.566830165542612,14,2,18,2,1,16
2019-01-06,0.0,2.2743715511955855,11.371857755977928,32.599325567136724,20,1,15,1,2,15
2019-01-13,0.0,6.064990803188228,7.5812385039852845,22.743715511955855,13,2,17,1,1,15
2019-01-20,0.0,4.548743102391171,7.5812385039852845,28.050582464745553,19,2,17,1,1,15
2019-01-27,0.0,2.2743715511955855,6.823114653586757,37.148068669527895,19,2,16,1,1,18
2019-02-03,0.0,5.306866952789699,9.097486204782342,33.35744941753525,17,2,16,1,1,19
2019-02-10,0.0,6.064990803188228,6.823114653586757,35.631820968730835,20,1,16,1,1,36
2019-02-17,0.0,3.032495401594114,9.85561005518087,37.148068669527895,17,1,16,1,1,18
2019-02-24,0.0,6.064990803188228,9.097486204782342,37.90619251992642,18,1,18,1,1,23
2019-03-03,0.0,4.548743102391171,9.097486204782342,42.45493562231759,20,1,18,1,1,32
2019-03-10,0.0,6.823114653586757,9.097486204782342,32.599325567136724,19,1,18,1,1,25
2019-03-17,0.0,6.823114653586757,8.339362354383812,38.664316370324954,20,1,20,1,1,25
2019-03-24,0.0,4.548743102391171,6.823114653586757,38.664316370324954,19,1,21,1,1,24
2019-03-31,0.0,5.306866952789699,11.371857755977928,46.24555487431024,20,2,21,0,1,28
2019-04-07,0.0,6.064990803188228,5.306866952789699,37.148068669527895,19,2,20,1,1,25
2019-04-14,0.0,1.516247700797057,8.339362354383812,37.90619251992642,20,1,23,1,1,29
2019-04-21,0.0,2.2743715511955855,5.306866952789699,41.696811771919066,19,2,20,1,1,26
2019-04-28,0.0,5.306866952789699,9.85561005518087,43.213059472716125,18,2,19,0,1,28
2019-05-05,0.0,5.306866952789699,6.823114653586757,37.90619251992642,20,1,18,0,1,40
2019-05-12,0.0,5.306866952789699,6.823114653586757,34.87369711833231,18,1,18,1,1,33
2019-05-19,0.0,5.306866952789699,7.5812385039852845,37.148068669527895,21,1,21,1,1,28
2019-05-26,0.0,3.7906192519926423,8.339362354383812,46.24555487431024,19,2,16,0,1,30
2019-06-02,0.0,3.032495401594114,8.339362354383812,45.48743102391171,20,1,17,1,1,23
2019-06-09,0.0,5.306866952789699,6.823114653586757,50.03617412630288,19,2,20,0,1,23
2019-06-16,0.0,2.2743715511955855,9.85561005518087,40.93868792152054,18,1,16,0,1,21
2019-06-23,0.0,3.032495401594114,7.5812385039852845,51.552421827099934,23,1,18,1,1,21
2019-06-30,0.0,6.823114653586757,7.5812385039852845,43.213059472716125,21,1,16,0,1,20
2019-07-07,0.0,3.032495401594114,8.339362354383812,46.24555487431024,17,1,17,1,1,21
2019-07-14,0.0,5.306866952789699,3.7906192519926423,43.97118332311465,16,1,15,1,1,23
2019-07-21,0.0,2.2743715511955855,5.306866952789699,39.42244022072348,16,2,18,1,2,18
2019-07-28,0.0,6.064990803188228,7.5812385039852845,50.03617412630288,12,1,16,1,1,20
2019-08-04,0.0,4.548743102391171,9.097486204782342,37.90619251992642,18,1,18,1,1,23
2019-08-11,0.0,4.548743102391171,9.097486204782342,28.808706315144082,17,1,20,1,1,20
2019-08-18,0.0,4.548743102391171,7.5812385039852845,34.87369711833231,20,1,18,0,1,21
2019-08-25,0.0,6.064990803188228,7.5812385039852845,34.11557326793378,19,1,19,1,1,19
2019-09-01,0.0,3.032495401594114,9.097486204782342,40.93868792152054,20,1,18,1,1,18
2019-09-08,0.0,5.306866952789699,9.85561005518087,44.72930717351318,19,1,14,0,1,20
2019-09-15,0.0,6.064990803188228,12.129981606376456,33.35744941753525,17,2,19,1,2,17
2019-09-22,0.0,6.064990803188228,11.371857755977928,43.213059472716125,19,1,16,0,1,17
2019-09-29,0.0,4.548743102391171,9.097486204782342,44.72930717351318,17,2,16,0,2,18
2019-10-06,0.0,6.823114653586757,7.5812385039852845,33.35744941753525,20,1,14,1,1,19
2019-10-13,0.0,3.7906192519926423,10.613733905579398,33.35744941753525,15,1,14,1,1,16
2019-10-20,0.0,6.064990803188228,6.823114653586757,34.11557326793378,18,1,14,1,1,19
2019-10-27,0.0,3.7906192519926423,8.339362354383812,43.97118332311465,18,1,16,1,1,20
2019-11-03,0.0,3.7906192519926423,10.613733905579398,35.631820968730835,18,1,16,1,1,16
2019-11-10,0.0,6.823114653586757,11.371857755977928,36.38994481912937,18,2,14,1,1,20
2019-11-17,0.0,6.064990803188228,9.097486204782342,43.213059472716125,19,2,14,1,2,19
2019-11-24,0.0,4.548743102391171,11.371857755977928,34.11557326793378,20,2,14,2,1,19
2019-12-01,0.0,2.2743715511955855,8.339362354383812,40.93868792152054,15,2,13,1,1,17
2019-12-08,0.0,4.548743102391171,11.371857755977928,37.148068669527895,16,1,14,1,1,19
2019-12-15,0.0,2.2743715511955855,11.371857755977928,38.664316370324954,17,1,15,1,1,18
2019-12-22,0.0,2.2743715511955855,8.339362354383812,31.083077866339668,13,2,19,1,0,19
2019-12-29,0.0,2.2743715511955855,4.548743102391171,32.599325567136724,12,2,18,1,1,15
2020-01-05,0.0,5.306866952789699,9.85561005518087,30.324954015941138,19,2,16,1,2,16
2020-01-12,0.0,4.548743102391171,9.097486204782342,35.631820968730835,20,1,18,1,1,18
2020-01-19,0.0,3.032495401594114,11.371857755977928,35.631820968730835,17,1,15,1,1,16
2020-01-26,0.0,6.064990803188228,5.306866952789699,37.90619251992642,18,1,18,0,9,21
2020-02-02,0.0,6.823114653586757,9.097486204782342,43.213059472716125,22,1,14,1,19,19
2020-02-09,0.0,18.194972409564684,6.823114653586757,39.42244022072348,20,1,18,1,7,32
2020-02-16,0.0,5.306866952789699,9.85561005518087,36.38994481912937,17,2,15,1,8,24
2020-02-23,0.0,7.5812385039852845,6.823114653586757,39.42244022072348,20,1,16,0,10,21
2020-03-01,0.0,5.306866952789699,7.5812385039852845,36.38994481912937,24,1,16,1,11,27
2020-03-08,0.0,5.306866952789699,6.064990803188228,31.841201716738198,19,2,15,0,7,21
2020-03-15,0.0,2.2743715511955855,6.823114653586757,25.776210913549967,18,1,16,1,8,40
2020-03-22,0.0,3.7906192519926423,5.306866952789699,38.664316370324954,23,1,22,0,9,58
2020-03-29,0.0,3.7906192519926423,9.097486204782342,41.696811771919066,25,1,25,1,2,78
2020-04-05,0.0,3.7906192519926423,7.5812385039852845,37.148068669527895,25,1,30,0,4,100
2020-04-12,0.0,4.548743102391171,9.85561005518087,47.761802575107296,24,1,34,1,2,56
2020-04-19,0.0,7.5812385039852845,6.823114653586757,54.58491722869405,22,2,26,1,3,52
2020-04-26,0.0,5.306866952789699,5.306866952789699,46.24555487431024,22,1,30,1,9,58
2020-05-03,0.0,6.823114653586757,7.5812385039852845,51.552421827099934,22,2,26,1,10,84
2020-05-10,0.0,5.306866952789699,12.129981606376456,56.85928877988964,24,1,23,0,11,50
