date,Energiezertifizierer,Dachdecker,Elektriker,Fenster,Solar,Smart Home,bauen,Einbruch,Schlüsseldienst,Blumen
2018-01-07,0.0,10.462980924668607,10.462980924668607,0.0,19,0,19,0,0,0
2018-01-14,0.0,0.0,10.462980924668607,0.0,37,0,18,0,0,57
2018-01-21,0.0,0.0,0.0,10.938570966698997,20,0,29,0,0,19
2018-01-28,0.0,0.0,0.0,11.414161008729389,20,0,20,0,0,20
2018-02-04,0.0,0.0,0.0,10.938570966698997,19,0,0,0,0,0
2018-02-11,0.0,0.0,10.462980924668607,20.925961849337213,0,0,38,0,0,19
2018-02-18,0.0,0.0,0.0,10.938570966698997,0,0,20,0,0,20
2018-02-25,0.0,0.0,0.0,21.401551891367603,19,0,29,0,0,0
2018-03-04,0.0,0.0,0.0,0.0,0,0,0,0,0,19
2018-03-11,0.0,0.0,0.0,30.913352731975426,0,0,20,0,0,28
2018-03-18,0.0,0.0,0.0,0.0,0,0,19,0,0,76
2018-03-25,0.0,0.0,0.0,0.0,20,0,59,0,0,20
2018-04-01,0.0,0.0,0.0,0.0,21,0,21,0,0,0
2018-04-08,0.0,0.0,0.0,11.889751050759779,0,0,21,0,0,42
2018-04-15,0.0,0.0,0.0,11.889751050759779,0,0,0,0,0,21
2018-04-22,0.0,0.0,0.0,0.0,0,0,55,0,0,22
2018-04-29,0.0,0.0,0.0,35.19366311024895,21,0,21,0,0,21
2018-05-06,0.0,0.0,0.0,0.0,21,0,0,0,0,42
2018-05-13,0.0,0.0,0.0,0.0,0,0,19,0,0,19
2018-05-20,0.0,0.0,0.0,0.0,0,0,21,0,0,0
2018-05-27,0.0,0.0,0.0,11.414161008729389,0,0,31,0,0,0
2018-06-03,0.0,0.0,0.0,10.938570966698997,20,0,21,0,0,20
2018-06-10,0.0,10.938570966698997,0.0,0.0,0,0,20,0,0,0
2018-06-17,0.0,0.0,0.0,0.0,0,0,0,0,0,21
2018-06-24,0.0,0.0,0.0,0.0,20,0,40,0,0,40
2018-07-01,0.0,0.0,0.0,21.401551891367603,20,0,0,0,0,77
2018-07-08,0.0,0.0,0.0,11.889751050759779,22,0,0,0,0,32
2018-07-15,0.0,0.0,0.0,0.0,0,0,23,0,0,46
2018-07-22,0.0,0.0,0.0,0.0,0,0,23,0,0,47
2018-07-29,0.0,0.0,0.0,12.840931134820561,24,0,75,0,0,0
2018-08-05,0.0,0.0,0.0,0.0,0,0,21,0,0,21
2018-08-12,0.0,0.0,0.0,22.352731975428384,29,0,39,0,0,20
2018-08-19,0.0,0.0,0.0,22.828322017458778,40,0,20,0,0,20
2018-08-26,0.0,0.0,0.0,0.0,0,0,20,0,0,20
2018-09-02,0.0,0.0,0.0,0.0,0,0,20,0,0,41
2018-09-09,0.0,0.0,0.0,23.779502101519558,0,0,43,0,0,21
2018-09-16,0.0,0.0,0.0,10.462980924668607,0,0,20,0,0,29
2018-09-23,0.0,0.0,0.0,0.0,0,0,62,0,0,43
2018-09-30,0.0,0.0,0.0,11.889751050759779,21,0,21,0,0,32
2018-10-07,0.0,0.0,0.0,12.365341092790171,0,0,23,0,0,22
2018-10-14,0.0,0.0,0.0,11.889751050759779,85,0,21,0,0,0
2018-10-21,0.0,0.0,0.0,0.0,20,0,20,0,0,40
2018-10-28,0.0,0.0,0.0,0.0,18,0,18,0,0,28
2018-11-04,0.0,0.0,0.0,10.462980924668607,0,0,0,0,0,19
2018-11-11,0.0,0.0,0.0,21.401551891367603,0,0,49,0,0,40
2018-11-18,0.0,0.0,0.0,0.0,19,0,19,0,0,19
2018-11-25,0.0,0.0,0.0,10.462980924668607,18,0,41,0,0,0
2018-12-02,0.0,0.0,0.0,11.414161008729389,0,0,0,0,0,77
2018-12-09,0.0,0.0,0.0,21.401551891367603,0,0,19,0,0,0
2018-12-16,0.0,10.938570966698997,0.0,10.938570966698997,0,0,20,0,0,30
2018-12-23,0.0,0.0,0.0,12.840931134820561,0,0,45,0,0,35
2018-12-30,0.0,0.0,0.0,0.0,0,0,21,0,0,21
2019-01-06,0.0,0.0,0.0,10.462980924668607,19,0,0,0,0,0
2019-01-13,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019-01-20,0.0,0.0,0.0,0.0,0,0,19,0,0,20
2019-01-27,0.0,0.0,0.0,21.401551891367603,0,0,39,0,0,0
2019-02-03,0.0,0.0,0.0,0.0,0,0,20,0,0,0
2019-02-10,0.0,10.938570966698997,0.0,10.938570966698997,0,0,30,0,0,20
2019-02-17,0.0,0.0,0.0,0.0,19,0,19,0,0,98
2019-02-24,0.0,0.0,0.0,0.0,20,0,30,0,0,39
2019-03-03,0.0,0.0,0.0,0.0,19,0,39,0,0,0
2019-03-10,0.0,0.0,0.0,10.462980924668607,0,0,19,0,0,0
2019-03-17,0.0,0.0,0.0,0.0,20,0,30,0,0,0
2019-03-24,0.0,0.0,0.0,22.828322017458778,0,0,0,0,0,20
2019-03-31,0.0,0.0,0.0,23.303912059489168,20,0,21,0,0,21
2019-04-07,0.0,0.0,0.0,0.0,0,0,20,0,0,50
2019-04-14,0.0,0.0,0.0,0.0,23,0,23,0,0,46
2019-04-21,0.0,0.0,0.0,0.0,22,0,23,0,0,0
2019-04-28,0.0,11.414161008729389,0.0,0.0,21,0,20,0,0,20
2019-05-05,0.0,0.0,0.0,10.938570966698997,0,0,0,0,0,40
2019-05-12,0.0,0.0,0.0,10.938570966698997,0,0,0,0,0,19
2019-05-19,0.0,0.0,11.414161008729389,0.0,20,0,20,0,0,21
2019-05-26,0.0,0.0,0.0,0.0,0,0,0,0,0,33
2019-06-02,0.0,0.0,0.0,12.365341092790171,22,0,23,0,0,0
2019-06-09,0.0,0.0,11.414161008729389,0.0,21,0,0,0,0,21
2019-06-16,0.0,0.0,0.0,11.414161008729389,0,0,0,0,0,43
