geoName,geoCode,Energiezertifizierer,Dachdecker,Elektriker,Solar,Fenster
Aargau,CH-AG,0,1,7,39,53
Appenzell Innerrhoden,CH-AI,0,18,0,18,64
Appenzell Outer Rhodes,CH-AR,0,5,0,32,63
Basel-Landschaft,CH-BL,0,1,12,39,48
Basel-Stadt,CH-BS,0,0,6,45,49
Canton of Bern,CH-BE,0,5,6,40,49
Canton of Fribourg,CH-FR,0,3,3,48,46
Canton of Glarus,CH-GL,0,0,0,45,55
Canton of Jura,CH-JU,0,0,0,38,62
Canton of Neuchâtel,CH-NE,0,0,0,67,33
Canton of Obwalden,CH-OW,0,0,0,43,57
Canton of Schaffhausen,CH-SH,0,5,6,36,53
Canton of Schwyz,CH-SZ,0,2,0,42,56
Canton of Solothurn,CH-SO,0,2,6,42,50
Canton of Uri,CH-UR,0,0,0,23,77
Canton of Zug,CH-ZG,0,6,3,34,57
Geneva,CH-GE,0,2,4,79,15
Grisons,CH-GR,0,4,4,43,49
Lucerne,CH-LU,0,6,5,30,59
Nidwalden,CH-NW,0,10,0,30,60
St. Gallen,CH-SG,0,3,6,33,58
Thurgau,CH-TG,0,4,4,44,48
Ticino,CH-TI,0,0,8,63,29
Valais,CH-VS,0,0,2,45,53
Vaud,CH-VD,0,3,2,66,29
Zurich,CH-ZH,0,4,7,39,50
