date,Energiezertifizierer,Dachdecker,Elektriker,Fenster,Smart Home,bauen,Blumen,Einbruch,Schlüsseldienst,Solar
2018-01-07,0,0,0,29,0,0,20,0,0,25
2018-01-14,0,20,0,19,0,19,19,0,0,24
2018-01-21,0,0,0,39,0,20,19,0,0,0
2018-01-28,0,0,21,40,0,20,0,0,0,51
2018-02-04,0,0,0,20,0,20,20,0,0,26
2018-02-11,0,0,0,0,0,0,21,0,0,53
2018-02-18,0,0,0,29,0,29,19,0,0,25
2018-02-25,0,0,19,19,0,0,19,0,0,61
2018-03-04,0,0,0,39,0,19,0,0,0,25
2018-03-11,0,0,0,19,0,48,19,0,0,24
2018-03-18,0,0,0,19,0,0,0,0,0,25
2018-03-25,0,0,0,39,0,20,39,0,0,25
2018-04-01,0,0,0,23,0,22,0,0,0,56
2018-04-08,0,21,0,0,0,31,21,0,0,0
2018-04-15,0,0,41,42,0,21,41,0,0,27
2018-04-22,0,0,0,20,0,40,40,0,0,26
2018-04-29,0,19,0,0,0,39,97,0,0,25
2018-05-06,0,0,0,21,0,21,52,0,0,78
2018-05-13,0,0,0,20,0,39,29,0,0,0
2018-05-20,0,0,0,0,0,40,51,0,0,51
2018-05-27,0,0,0,20,0,21,21,0,0,26
2018-06-03,0,0,0,0,0,20,0,0,0,0
2018-06-10,0,0,0,20,0,39,20,0,0,25
2018-06-17,0,21,0,21,0,21,20,0,0,0
2018-06-24,0,0,0,21,0,42,0,0,0,26
2018-07-01,0,21,0,41,0,21,41,0,0,0
2018-07-08,0,0,0,22,0,0,22,0,0,0
2018-07-15,0,0,0,22,0,0,22,0,0,57
2018-07-22,0,0,23,47,0,0,47,0,0,29
2018-07-29,0,0,0,25,0,25,0,0,0,32
2018-08-05,0,0,0,0,0,35,23,0,0,30
2018-08-12,0,0,0,33,0,22,0,0,0,58
2018-08-19,0,0,0,21,0,21,21,0,0,27
2018-08-26,0,0,0,21,0,21,21,0,0,53
2018-09-02,0,0,0,21,0,43,43,0,0,55
2018-09-09,0,0,0,0,0,22,22,0,0,28
2018-09-16,0,0,0,41,0,20,20,0,0,26
2018-09-23,0,0,0,0,0,20,0,0,0,25
2018-09-30,0,0,0,61,0,20,20,0,0,25
2018-10-07,0,0,0,20,0,61,31,0,0,0
2018-10-14,0,22,0,0,0,0,22,0,0,57
2018-10-21,0,0,0,21,0,21,0,0,0,27
2018-10-28,0,0,0,20,0,20,20,0,0,0
2018-11-04,0,0,0,29,0,0,20,0,0,49
2018-11-11,0,0,40,20,0,30,39,0,0,25
2018-11-18,0,19,19,28,0,19,0,0,0,25
2018-11-25,0,20,0,30,0,40,40,0,0,0
2018-12-02,0,0,0,20,0,0,40,0,0,25
2018-12-09,0,0,0,20,0,20,20,0,0,0
2018-12-16,0,0,0,20,0,0,40,0,0,51
2018-12-23,0,0,0,0,0,24,0,0,0,32
2018-12-30,0,0,0,34,0,23,22,0,0,0
2019-01-06,0,0,0,20,0,20,20,0,0,0
2019-01-13,0,0,0,19,0,20,20,0,0,25
2019-01-20,0,0,0,29,0,19,0,0,0,25
