date,Energiezertifizierer,Dachdecker,Elektriker,Fenster,Smart Home,bauen,Blumen,Einbruch,Schlüsseldienst,Solar
2018-01-07,0,11,0,11,12,12,12,0,0,40
2018-01-14,0,9,9,22,0,29,34,0,0,32
2018-01-21,0,0,24,8,26,17,26,0,0,36
2018-01-28,0,0,0,20,9,39,44,0,0,22
2018-02-04,0,0,8,16,9,18,31,0,7,37
2018-02-11,0,8,0,17,0,14,28,0,0,69
2018-02-18,0,0,9,17,9,10,57,0,0,39
2018-02-25,0,0,9,27,0,29,24,0,0,73
2018-03-04,0,0,8,20,0,22,57,0,0,7
2018-03-11,0,0,0,15,0,30,25,0,0,56
2018-03-18,0,0,0,16,0,35,35,9,0,51
2018-03-25,0,8,12,25,0,13,41,0,0,37
2018-04-01,0,20,0,30,0,22,49,0,0,45
2018-04-08,0,0,0,18,0,30,25,0,0,24
2018-04-15,0,8,8,16,0,26,27,0,0,59
2018-04-22,0,0,0,24,0,39,56,0,0,43
2018-04-29,0,8,8,12,0,43,47,9,0,43
2018-05-06,0,0,8,49,0,32,85,0,0,52
2018-05-13,0,0,8,23,0,17,68,0,0,14
2018-05-20,0,0,8,24,9,40,67,0,0,44
2018-05-27,0,0,8,19,9,34,34,0,0,42
2018-06-03,0,0,12,31,0,17,17,0,0,35
2018-06-10,0,12,8,23,8,21,25,0,7,0
2018-06-17,0,0,0,15,0,13,25,0,0,0
2018-06-24,0,0,8,8,0,9,43,0,0,28
2018-07-01,0,24,0,36,0,31,35,0,0,29
2018-07-08,0,0,9,13,10,34,24,0,8,16
2018-07-15,0,0,9,22,10,58,38,0,0,72
2018-07-22,0,0,0,18,10,40,20,0,0,33
2018-07-29,0,0,11,22,0,35,35,0,0,10
2018-08-05,0,13,0,13,0,36,0,0,0,0
2018-08-12,0,12,0,24,0,27,20,0,0,11
2018-08-19,0,0,20,26,0,23,40,0,0,47
2018-08-26,0,0,9,23,10,30,61,10,8,0
2018-09-02,0,17,8,29,0,23,23,0,0,45
2018-09-09,0,0,8,13,0,18,9,9,8,23
2018-09-16,0,0,0,19,10,31,10,0,0,34
2018-09-23,0,0,17,13,0,9,19,0,0,16
2018-09-30,0,8,19,34,8,46,29,8,7,34
2018-10-07,0,0,8,24,0,22,31,0,0,37
2018-10-14,0,0,13,22,10,20,34,20,0,8
2018-10-21,0,10,0,41,22,17,11,0,0,28
2018-10-28,0,9,0,18,0,10,49,0,0,24
