date,Automazione cancelli,Certificato conformità impianto elettrico,Certificazione energetica,Costruzione o sostituzione tetto,Cronotermostato e termostato,Finestre blindate,Impianto di allarme,Installazione impianto di domotica,Installazione impianto wifi,Installazione o sostituzione doppi vetri,Installazione o sostituzione finestre,Installazione o sostituzione impianto di videosorveglianza,Installazione o sostituzione inferriate,Installazione o sostituzione pannelli fotovoltaici,Installazione o sostituzione porte blindate,Installazione o sostituzione serrature,Installazione o sostituzione vetro antisfondamento,Motorizzazione tapparelle,Rifacimento facciata,Riparazione o manutenzione tetto
2018-01-01,0.0,2.5,46.666666666666664,1.6666666666666667,0.0,0.0,16.666666666666664,0.0,0.0,0.0,35.0,1.6666666666666667,0.0,2.5,12.5,0.8333333333333334,0.0,0.8333333333333334,0.0,4.166666666666666
2018-02-01,0.8333333333333334,0.0,40.0,3.3333333333333335,0.8333333333333334,0.0,21.666666666666668,0.0,0.0,0.0,47.5,0.8333333333333334,0.0,1.6666666666666667,14.166666666666666,4.166666666666666,0.0,0.0,0.0,2.5
2018-03-01,0.8333333333333334,6.666666666666667,57.49999999999999,5.0,0.8333333333333334,0.0,19.166666666666668,0.0,0.0,0.0,28.333333333333332,0.8333333333333334,0.0,3.3333333333333335,10.833333333333334,4.166666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.6666666666666667
2018-04-01,0.0,5.0,43.333333333333336,3.3333333333333335,0.0,0.0,18.333333333333332,0.0,0.8333333333333334,0.8333333333333334,17.5,2.5,0.0,1.6666666666666667,7.5,1.6666666666666667,0.0,1.6666666666666667,2.5,0.0
2018-05-01,1.6666666666666667,6.666666666666667,41.66666666666667,4.166666666666666,0.0,0.0,16.666666666666664,0.0,0.0,0.8333333333333334,27.500000000000004,5.0,0.0,5.0,13.333333333333334,1.6666666666666667,1.6666666666666667,2.5,3.3333333333333335,5.833333333333333
2018-06-01,2.5,4.166666666666666,50.0,2.5,0.0,0.8333333333333334,10.0,0.0,0.8333333333333334,1.6666666666666667,20.0,3.3333333333333335,0.0,5.833333333333333,11.666666666666666,4.166666666666666,0.0,2.5,0.8333333333333334,4.166666666666666
2018-07-01,1.6666666666666667,5.0,54.166666666666664,0.8333333333333334,0.8333333333333334,0.0,19.166666666666668,0.0,0.0,0.8333333333333334,14.166666666666666,0.0,0.0,5.0,9.166666666666666,3.3333333333333335,0.0,1.6666666666666667,1.6666666666666667,6.666666666666667
2018-08-01,1.6666666666666667,2.5,25.833333333333336,1.6666666666666667,0.0,0.0,13.333333333333334,0.0,0.0,2.5,19.166666666666668,0.0,0.0,5.0,8.333333333333332,2.5,0.0,1.6666666666666667,0.8333333333333334,0.8333333333333334
2018-09-01,2.5,7.5,52.5,1.6666666666666667,0.0,0.0,15.0,0.0,0.0,1.6666666666666667,35.833333333333336,1.6666666666666667,0.0,3.3333333333333335,12.5,1.6666666666666667,0.0,0.8333333333333334,0.0,5.0
2018-10-01,1.6666666666666667,7.5,45.83333333333333,3.3333333333333335,1.6666666666666667,0.0,16.666666666666664,0.0,0.8333333333333334,1.6666666666666667,35.833333333333336,2.5,0.0,3.3333333333333335,10.833333333333334,5.0,1.6666666666666667,6.666666666666667,0.8333333333333334,10.0
2018-11-01,1.6666666666666667,7.5,43.333333333333336,0.8333333333333334,0.8333333333333334,1.6666666666666667,10.0,0.0,1.6666666666666667,2.5,30.0,1.6666666666666667,0.0,2.5,7.5,2.5,0.0,4.166666666666666,1.6666666666666667,10.0
2018-12-01,1.6666666666666667,9.166666666666666,25.833333333333336,2.5,0.8333333333333334,0.0,15.0,0.0,0.0,0.0,21.666666666666668,0.8333333333333334,0.0,1.6666666666666667,7.5,5.0,0.0,0.0,0.0,2.5
2019-01-01,0.8333333333333334,8.333333333333332,65.0,6.666666666666667,2.5,0.8333333333333334,29.166666666666668,0.0,0.8333333333333334,2.5,44.166666666666664,3.3333333333333335,0.0,0.8333333333333334,7.5,3.3333333333333335,0.0,5.0,0.0,5.833333333333333
2019-02-01,2.5,6.666666666666667,63.33333333333333,5.833333333333333,0.0,1.6666666666666667,15.0,0.0,0.0,2.5,28.333333333333332,1.6666666666666667,0.0,0.8333333333333334,11.666666666666666,0.0,0.0,6.666666666666667,1.6666666666666667,6.666666666666667
2019-03-01,2.5,7.5,61.66666666666667,6.666666666666667,0.8333333333333334,0.8333333333333334,18.333333333333332,0.0,0.0,3.3333333333333335,36.666666666666664,2.5,0.0,8.333333333333332,9.166666666666666,5.833333333333333,0.0,0.0,0.0,8.333333333333332
2019-04-01,0.8333333333333334,7.5,45.83333333333333,6.666666666666667,0.8333333333333334,0.8333333333333334,23.333333333333332,0.0,1.6666666666666667,5.833333333333333,25.0,5.0,0.0,7.5,15.833333333333332,3.3333333333333335,0.0,0.8333333333333334,3.3333333333333335,7.5
2019-05-01,0.8333333333333334,10.833333333333334,69.16666666666667,5.833333333333333,0.8333333333333334,1.6666666666666667,18.333333333333332,0.0,0.0,5.0,32.5,5.833333333333333,5.0,4.166666666666666,15.833333333333332,8.333333333333332,0.8333333333333334,4.166666666666666,1.6666666666666667,10.0
2019-06-01,7.5,5.0,55.00000000000001,5.0,0.0,0.8333333333333334,15.833333333333332,0.0,0.8333333333333334,2.5,31.666666666666664,2.5,4.166666666666666,6.666666666666667,4.166666666666666,15.833333333333332,0.0,4.166666666666666,0.8333333333333334,6.666666666666667
