date,Energiezertifizierer,Dachdecker,Elektriker,Fenster,Solar,Smart Home,bauen,Einbruch,Schlüsseldienst,Blumen
2018-01-07,0.0,0.0,3.0995839833593344,30.553042121684868,11,10,23,0,0,15
2018-01-14,0.0,3.0995839833593344,0.0,11.069942797711908,10,0,19,4,0,15
2018-01-21,0.0,0.0,4.8707748309932395,32.32423296931877,15,0,23,0,0,15
2018-01-28,0.0,7.084763390535621,3.5423816952678107,22.582683307332292,10,0,31,4,0,20
2018-02-04,0.0,3.5423816952678107,5.313572542901716,20.81149245969839,8,0,23,4,0,28
2018-02-11,0.0,3.5423816952678107,6.641965678627145,20.36869474778991,8,4,26,4,4,27
2018-02-18,0.0,9.741549661986479,3.0995839833593344,19.483099323972958,12,0,18,0,0,23
2018-02-25,0.0,6.641965678627145,4.8707748309932395,23.025481019240768,8,4,31,4,0,45
2018-03-04,0.0,0.0,3.0995839833593344,16.383515340613624,8,4,29,0,0,56
2018-03-11,0.0,0.0,9.741549661986479,11.512740509620384,6,0,37,4,0,30
2018-03-18,0.0,3.0995839833593344,6.641965678627145,22.582683307332292,6,0,14,0,0,22
2018-03-25,0.0,0.0,3.5423816952678107,11.955538221528862,6,4,36,4,0,43
2018-04-01,0.0,3.5423816952678107,0.0,15.940717628705148,8,0,21,4,0,20
2018-04-08,0.0,3.5423816952678107,0.0,25.23946957878315,13,4,30,0,0,29
2018-04-15,0.0,0.0,7.527561102444098,9.298751950078003,13,0,42,4,0,60
2018-04-22,0.0,3.5423816952678107,3.5423816952678107,16.8263130525221,12,0,31,4,4,24
2018-04-29,0.0,3.0995839833593344,0.0,27.89625585023401,14,0,27,0,0,27
2018-05-06,0.0,0.0,3.5423816952678107,17.711908476339055,15,0,29,0,4,28
2018-05-13,0.0,3.0995839833593344,4.8707748309932395,11.512740509620384,10,0,27,0,0,23
2018-05-20,0.0,7.084763390535621,3.5423816952678107,20.81149245969839,16,0,29,4,0,28
2018-05-27,0.0,3.5423816952678107,3.5423816952678107,15.055122204888196,24,0,20,0,0,27
2018-06-03,0.0,3.5423816952678107,3.5423816952678107,23.468278731149244,12,0,22,0,0,23
2018-06-10,0.0,3.0995839833593344,3.0995839833593344,16.383515340613624,14,0,10,0,0,15
2018-06-17,0.0,3.5423816952678107,0.0,36.75221008840354,18,4,16,0,0,23
2018-06-24,0.0,3.5423816952678107,3.5423816952678107,10.184347373894955,10,0,24,0,0,43
2018-07-01,0.0,3.5423816952678107,6.641965678627145,13.726729069162767,16,4,16,4,0,16
2018-07-08,0.0,0.0,3.5423816952678107,33.6526261050442,16,9,16,9,0,22
2018-07-15,0.0,3.985179407176287,3.985179407176287,11.955538221528862,12,0,16,5,5,5
2018-07-22,0.0,3.985179407176287,3.985179407176287,18.15470618824753,19,0,29,0,0,28
2018-07-29,0.0,3.985179407176287,3.985179407176287,20.36869474778991,15,0,17,0,0,19
2018-08-05,0.0,0.0,5.313572542901716,26.56786271450858,6,0,38,4,0,25
2018-08-12,0.0,0.0,4.8707748309932395,27.010660426417058,12,4,28,0,4,19
2018-08-19,0.0,0.0,3.5423816952678107,20.36869474778991,16,0,14,0,0,20
2018-08-26,0.0,3.0995839833593344,3.0995839833593344,19.925897035881434,4,0,24,0,0,35
2018-09-02,0.0,3.5423816952678107,10.184347373894955,26.125065002600103,17,4,29,0,0,20
2018-09-09,0.0,3.5423816952678107,3.5423816952678107,19.040301612064482,17,4,19,0,0,40
2018-09-16,0.0,3.5423816952678107,3.5423816952678107,15.497919916796672,6,0,23,6,0,4
2018-09-23,0.0,3.5423816952678107,7.084763390535621,22.582683307332292,12,4,19,4,0,8
2018-09-30,0.0,3.985179407176287,3.5423816952678107,18.597503900156006,7,0,29,0,0,17
2018-10-07,0.0,3.985179407176287,7.527561102444098,20.81149245969839,9,5,23,0,4,40
2018-10-14,0.0,0.0,0.0,26.56786271450858,25,0,25,4,0,12
