geoName,geoCode,Energieausweis,Elektro,Dachdecker,Solar,Fenster
Burgenland,AT-1,1,40,2,19,38
Carinthia,AT-2,1,38,3,23,35
Lower Austria,AT-3,0,39,3,18,40
Salzburg,AT-5,0,48,3,17,32
Styria,AT-6,1,38,3,20,38
Tyrol,AT-7,2,41,2,19,36
Upper Austria,AT-4,1,40,4,18,37
Vienna,AT-9,1,40,3,19,37
Vorarlberg,AT-8,0,48,3,16,33
