date,Energiezertifizierer,Dachdecker,Elektriker,Solar,Fenster,Smart Home,bauen,Einbruch,Schlüsseldienst,Blumen
2018-01-07,0.0,0.0,0.0,0.0,9,0,36,9,0,9
2018-01-14,0.0,0.0,0.0,10.405250205086137,35,0,22,0,0,22
2018-01-21,0.0,0.0,0.0,21.677604593929452,22,0,35,0,0,13
2018-01-28,0.0,0.0,12.139458572600494,0.0,15,10,15,0,0,10
2018-02-04,0.0,0.0,0.0,10.405250205086137,13,9,62,9,9,26
2018-02-11,0.0,0.0,0.0,0.0,13,0,31,0,0,31
2018-02-18,0.0,0.0,0.0,20.810500410172274,13,9,21,9,8,35
2018-02-25,0.0,0.0,0.0,10.405250205086137,34,0,13,0,0,26
2018-03-04,0.0,0.0,0.0,20.810500410172274,13,0,34,0,0,35
2018-03-11,0.0,0.0,0.0,0.0,47,9,43,9,0,17
2018-03-18,0.0,0.0,10.405250205086137,10.405250205086137,9,0,26,0,0,26
2018-03-25,0.0,0.0,0.0,21.677604593929452,27,0,38,0,0,14
2018-04-01,0.0,0.0,11.272354388843315,0.0,30,0,34,0,0,34
2018-04-08,0.0,0.0,0.0,23.41181296144381,43,0,24,0,0,43
2018-04-15,0.0,0.0,0.0,11.272354388843315,18,0,23,0,0,37
2018-04-22,0.0,0.0,0.0,0.0,36,0,27,0,0,27
2018-04-29,0.0,0.0,0.0,20.810500410172274,26,0,26,0,0,70
2018-05-06,0.0,0.0,11.272354388843315,11.272354388843315,23,0,18,9,0,37
2018-05-13,0.0,0.0,10.405250205086137,0.0,26,0,9,0,0,40
2018-05-20,0.0,11.272354388843315,11.272354388843315,11.272354388843315,27,9,36,0,0,9
2018-05-27,0.0,10.405250205086137,0.0,10.405250205086137,9,0,9,0,0,22
2018-06-03,0.0,0.0,0.0,0.0,26,9,0,0,9,44
2018-06-10,0.0,10.405250205086137,0.0,20.810500410172274,13,0,13,8,0,38
2018-06-17,0.0,0.0,10.405250205086137,52.02625102543069,30,0,9,0,0,30
2018-06-24,0.0,10.405250205086137,0.0,10.405250205086137,9,0,9,0,0,22
2018-07-01,0.0,0.0,0.0,20.810500410172274,21,0,22,0,0,21
2018-07-08,0.0,0.0,0.0,10.405250205086137,18,0,37,0,0,18
2018-07-15,0.0,0.0,0.0,35.551271534044304,20,0,30,0,10,15
2018-07-22,0.0,0.0,0.0,12.139458572600494,21,0,21,0,0,21
2018-07-29,0.0,0.0,0.0,12.139458572600494,31,0,41,0,0,10
2018-08-05,0.0,0.0,0.0,0.0,35,0,18,0,0,22
2018-08-12,0.0,0.0,0.0,0.0,26,0,27,0,0,26
2018-08-19,0.0,10.405250205086137,0.0,10.405250205086137,30,9,26,0,9,0
2018-08-26,0.0,10.405250205086137,10.405250205086137,0.0,13,0,13,0,0,13
2018-09-02,0.0,0.0,10.405250205086137,10.405250205086137,14,0,18,0,9,18
2018-09-09,0.0,0.0,0.0,21.677604593929452,18,0,14,0,0,18
2018-09-16,0.0,11.272354388843315,0.0,21.677604593929452,27,0,18,0,0,18
2018-09-23,0.0,0.0,0.0,32.08285479901559,28,19,32,0,0,36
2018-09-30,0.0,10.405250205086137,21.677604593929452,10.405250205086137,72,0,9,0,0,18
2018-10-07,0.0,0.0,0.0,12.139458572600494,25,0,40,0,0,20
2018-10-14,0.0,0.0,12.139458572600494,0.0,40,0,30,0,0,20
2018-10-21,0.0,10.405250205086137,10.405250205086137,10.405250205086137,40,9,40,0,0,27
2018-10-28,0.0,0.0,0.0,10.405250205086137,30,0,13,0,0,8
2018-11-04,0.0,10.405250205086137,0.0,0.0,44,0,13,0,9,0
2018-11-11,0.0,10.405250205086137,0.0,10.405250205086137,35,0,13,9,0,17
2018-11-18,0.0,0.0,10.405250205086137,10.405250205086137,17,0,34,9,0,21
2018-11-25,0.0,0.0,10.405250205086137,0.0,34,9,17,0,0,21
2018-12-02,0.0,10.405250205086137,0.0,10.405250205086137,22,0,17,0,0,43
2018-12-09,0.0,10.405250205086137,0.0,0.0,26,0,9,0,0,17
2018-12-16,0.0,0.0,20.810500410172274,10.405250205086137,30,0,17,0,0,13
2018-12-23,0.0,0.0,0.0,0.0,0,0,15,0,10,15
2018-12-30,0.0,0.0,0.0,0.0,19,9,24,0,0,19
2019-01-06,0.0,0.0,0.0,19.943396226415096,17,0,21,0,8,17
2019-01-13,0.0,9.53814602132896,0.0,29.481542247744056,12,8,16,0,0,16
2019-01-20,0.0,0.0,0.0,9.53814602132896,16,0,24,0,0,28
2019-01-27,0.0,0.0,0.0,10.405250205086137,31,0,22,0,0,44
2019-02-03,0.0,0.0,0.0,0.0,16,0,28,0,0,28
2019-02-10,0.0,0.0,0.0,0.0,17,0,21,0,0,29
2019-02-17,0.0,10.405250205086137,0.0,10.405250205086137,30,9,43,0,0,43
2019-02-24,0.0,10.405250205086137,0.0,20.810500410172274,42,0,8,0,0,30
2019-03-03,0.0,0.0,19.943396226415096,10.405250205086137,21,8,25,0,0,8
2019-03-10,0.0,0.0,0.0,19.943396226415096,29,0,16,0,0,33
2019-03-17,0.0,0.0,0.0,10.405250205086137,34,0,38,0,9,30
2019-03-24,0.0,10.405250205086137,10.405250205086137,0.0,21,8,42,0,0,29
2019-03-31,0.0,10.405250205086137,0.0,20.810500410172274,13,0,21,0,0,17
2019-04-07,0.0,0.0,0.0,10.405250205086137,22,0,26,0,0,30
2019-04-14,0.0,0.0,0.0,11.272354388843315,37,0,23,19,0,33
2019-04-21,0.0,0.0,0.0,0.0,18,0,44,0,0,35
2019-04-28,0.0,0.0,0.0,19.943396226415096,16,0,37,0,0,21
2019-05-05,0.0,9.53814602132896,9.53814602132896,19.07629204265792,36,0,28,0,0,28
2019-05-12,0.0,0.0,0.0,40.75389663658737,34,0,25,0,0,25
2019-05-19,0.0,0.0,0.0,19.943396226415096,16,8,20,0,0,33
2019-05-26,0.0,0.0,11.272354388843315,11.272354388843315,36,0,45,0,0,18
2019-06-02,0.0,0.0,11.272354388843315,22.54470877768663,28,0,19,0,0,14
2019-06-09,0.0,0.0,0.0,10.405250205086137,17,0,30,0,8,34
2019-06-16,0.0,0.0,0.0,0.0,21,0,17,0,0,17
2019-06-23,0.0,0.0,0.0,11.272354388843315,36,0,23,0,0,45
2019-06-30,0.0,10.405250205086137,0.0,10.405250205086137,53,0,26,0,0,31
2019-07-07,0.0,0.0,10.405250205086137,10.405250205086137,17,9,26,9,0,17
2019-07-14,0.0,0.0,0.0,23.41181296144381,29,0,20,0,0,25
2019-07-21,0.0,13.006562756357672,13.006562756357672,0.0,31,0,32,0,0,55
2019-07-28,0.0,0.0,0.0,13.006562756357672,11,0,74,11,0,16
2019-08-04,0.0,0.0,0.0,0.0,57,9,14,0,0,19
2019-08-11,0.0,0.0,10.405250205086137,0.0,30,0,38,0,0,21
2019-08-18,0.0,0.0,9.53814602132896,39.88679245283019,16,0,37,0,0,29
2019-08-25,0.0,10.405250205086137,10.405250205086137,0.0,21,0,26,0,0,21
2019-09-01,0.0,10.405250205086137,0.0,0.0,13,8,13,17,0,25
2019-09-08,0.0,10.405250205086137,0.0,0.0,25,0,8,0,0,34
2019-09-15,0.0,0.0,10.405250205086137,0.0,33,0,25,0,0,21
2019-09-22,0.0,0.0,0.0,0.0,12,0,25,0,0,33
2019-09-29,0.0,0.0,10.405250205086137,19.943396226415096,21,0,25,0,0,29
2019-10-06,0.0,10.405250205086137,0.0,0.0,45,0,13,9,0,13
2019-10-13,0.0,10.405250205086137,10.405250205086137,0.0,31,0,18,9,0,13
2019-10-20,0.0,0.0,0.0,0.0,16,0,20,8,0,31
2019-10-27,0.0,0.0,0.0,18.20918785890074,15,0,11,0,0,15
2019-11-03,0.0,0.0,0.0,38.15258408531584,24,0,32,0,8,16
2019-11-10,0.0,0.0,0.0,19.07629204265792,12,0,36,0,0,20
2019-11-17,0.0,0.0,9.53814602132896,0.0,24,8,8,0,0,12
2019-11-24,0.0,0.0,0.0,0.0,23,0,12,0,0,27
2019-12-01,0.0,9.53814602132896,0.0,28.614438063986878,16,0,8,0,0,32
2019-12-08,0.0,0.0,9.53814602132896,0.0,12,0,16,0,0,27
2019-12-15,0.0,0.0,0.0,9.53814602132896,20,0,24,8,0,20
2019-12-22,0.0,0.0,0.0,10.405250205086137,18,0,9,0,0,31
2019-12-29,0.0,0.0,0.0,0.0,18,0,27,9,9,13
2020-01-05,0.0,0.0,9.53814602132896,9.53814602132896,23,0,12,0,0,12
