date,Energiezertifizierer,Dachdecker,Elektriker,Fenster,Smart Home,bauen,Blumen,Einbruch,Schlüsseldienst,Solar
2018-01-07,0,0,0,19,0,23,45,0,0,23
2018-01-14,0,0,0,20,0,0,23,0,0,45
2018-01-21,0,0,0,0,0,22,22,0,0,33
2018-01-28,0,0,0,20,0,23,22,0,0,22
2018-02-04,0,0,0,20,23,0,23,0,0,23
2018-02-11,0,0,0,21,0,24,48,0,0,0
2018-02-18,0,0,0,20,22,45,0,0,0,45
2018-02-25,0,0,19,39,0,0,0,0,0,22
2018-03-04,0,0,0,38,0,0,22,0,0,66
2018-03-11,0,0,0,19,0,22,0,0,0,22
2018-03-18,0,0,0,0,0,0,0,0,0,24
2018-03-25,0,0,0,20,0,0,23,0,0,23
2018-04-01,0,0,0,0,0,25,74,0,0,25
2018-04-08,0,0,0,19,0,0,0,0,0,33
2018-04-15,0,0,0,0,0,0,0,0,0,36
2018-04-22,0,0,0,0,0,0,23,0,0,46
2018-04-29,0,0,0,41,0,23,0,0,0,0
2018-05-06,0,0,0,20,0,23,23,0,0,35
2018-05-13,0,0,0,0,0,0,0,0,0,0
2018-05-20,0,0,0,20,0,0,23,0,0,69
2018-05-27,0,0,0,0,0,24,24,0,0,47
2018-06-03,0,0,0,41,0,23,35,0,0,24
2018-06-10,0,0,0,0,0,0,35,0,0,23
2018-06-17,0,0,0,0,0,0,0,0,0,61
2018-06-24,0,0,0,23,0,27,26,0,0,40
2018-07-01,0,0,0,0,0,25,0,0,0,25
2018-07-08,0,0,0,0,0,48,24,0,0,60
2018-07-15,0,0,0,0,0,0,0,0,0,48
2018-07-22,0,0,0,31,0,0,0,0,0,24
2018-07-29,0,0,0,22,0,39,25,0,0,52
2018-08-05,0,0,22,22,25,0,75,0,0,25
2018-08-12,0,0,0,24,0,26,27,0,0,53
2018-08-19,0,0,0,0,0,0,24,0,0,0
2018-08-26,0,0,0,0,0,0,47,0,0,47
2018-09-02,0,0,0,21,0,0,0,0,0,0
2018-09-09,0,0,0,21,0,0,24,0,0,24
2018-09-16,0,0,0,61,0,0,0,0,0,35
2018-09-23,0,0,0,21,0,0,0,0,0,35
2018-09-30,0,0,0,0,0,23,0,0,0,23
2018-10-07,0,0,0,20,0,0,0,0,0,23
2018-10-14,0,0,0,20,46,0,46,0,0,46
2018-10-21,0,0,0,0,0,23,0,0,0,47
2018-10-28,0,0,0,0,0,25,25,0,0,100
2018-11-04,0,0,0,21,47,0,0,0,0,23
2018-11-11,0,0,0,21,0,0,0,0,0,48
2018-11-18,0,0,0,20,0,23,23,0,0,0
2018-11-25,0,0,0,21,0,0,48,0,0,24
2018-12-02,0,0,0,21,0,23,0,0,0,48
2018-12-09,0,0,21,0,0,0,24,0,0,24
2018-12-16,0,0,0,0,25,0,25,0,0,0
2018-12-23,0,0,0,27,33,0,31,0,0,32
2018-12-30,0,0,0,25,0,29,29,0,0,0
2019-01-06,0,0,0,41,0,0,0,0,0,48
