date,Energiezertifizierer,Dachdecker,Elektriker,Fenster,Smart Home,bauen,Blumen,Einbruch,Schlüsseldienst,Solar
2019-12-15,0,0,0,0,0,0,0,0,0,30
2019-12-22,0,0,0,22,19,0,0,0,0,22
2019-12-29,0,0,0,0,0,0,0,0,0,56
2020-01-05,0,15,0,15,0,0,12,0,0,59
2020-01-12,0,0,0,0,0,18,0,0,0,21
2020-01-19,0,0,14,14,0,0,12,0,0,14
2020-01-26,0,13,0,13,0,0,11,0,0,20
2020-02-02,0,0,0,14,0,0,0,0,0,28
2020-02-09,0,15,0,15,0,13,0,0,0,30
2020-02-16,0,0,14,0,24,0,0,0,0,14
2020-02-23,0,14,0,14,0,0,0,0,0,68
2020-03-01,0,0,0,14,0,0,0,0,0,41
2020-03-08,0,0,0,13,0,11,0,0,0,40
2020-03-15,0,0,0,0,0,23,11,0,0,21
2020-03-22,0,0,14,0,12,23,12,0,0,55
2020-03-29,0,0,0,15,0,0,25,0,0,60
2020-04-05,0,0,0,16,0,0,13,0,0,32
2020-04-12,0,0,0,0,0,25,13,13,0,23
2020-04-19,0,0,0,21,0,11,17,0,0,55
2020-04-26,0,0,0,33,11,11,33,0,0,13
2020-05-03,0,0,0,0,0,12,29,0,0,56
2020-05-10,0,0,0,0,12,12,12,0,0,42
2020-05-17,0,0,0,0,13,26,13,0,0,46
2020-05-24,0,0,0,0,12,0,24,0,0,36
2020-05-31,0,0,0,14,0,0,12,0,14,49
2020-06-07,0,0,0,13,0,0,0,0,0,53
2020-06-14,0,0,0,21,0,0,0,0,0,49
2020-06-21,0,0,15,15,0,13,13,0,0,69
2020-06-28,0,0,0,0,13,13,13,0,0,30
2020-07-05,0,0,0,24,0,0,0,0,0,48
2020-07-12,0,0,0,60,0,0,0,0,0,91
