geoName,geoCode,festa compleanno
Abruzzo,IT-65,43
Aosta,IT-23,0
Apulia,IT-75,81
Basilicata,IT-77,71
Calabria,IT-78,99
Campania,IT-72,73
Emilia-Romagna,IT-45,43
Friuli-Venezia Giulia,IT-36,38
Lazio,IT-62,65
Liguria,IT-42,57
Lombardy,IT-25,54
Marche,IT-57,40
Molise,IT-67,100
Piedmont,IT-21,53
Sardinia,IT-88,44
Sicily,IT-82,73
Trentino-Alto Adige/South Tyrol,IT-32,39
Tuscany,IT-52,39
Umbria,IT-55,46
Veneto,IT-34,40
