geoName,geoCode,Haus Bauen
Baden-Württemberg,DE-BW,66
Bavaria,DE-BY,63
Berlin,DE-BE,54
Brandenburg,DE-BB,87
Bremen,DE-HB,54
Hamburg,DE-HH,73
Hesse,DE-HE,58
Lower Saxony,DE-NI,83
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,57
Rhineland-Palatinate,DE-RP,77
Saarland,DE-SL,92
Saxony,DE-SN,66
Saxony-Anhalt,DE-ST,87
Schleswig-Holstein,DE-SH,91
Thuringia,DE-TH,84
