date,musica,isPartial
2018-01-07,70,False
2018-01-14,82,False
2018-01-21,79,False
2018-01-28,77,False
2018-02-04,69,False
2018-02-11,69,False
2018-02-18,85,False
2018-02-25,68,False
2018-03-04,73,False
2018-03-11,63,False
2018-03-18,75,False
2018-03-25,63,False
2018-04-01,69,False
2018-04-08,72,False
2018-04-15,79,False
2018-04-22,88,False
2018-04-29,69,False
2018-05-06,69,False
2018-05-13,79,False
2018-05-20,71,False
2018-05-27,77,False
2018-06-03,82,False
2018-06-10,70,False
2018-06-17,68,False
2018-06-24,73,False
2018-07-01,77,False
2018-07-08,72,False
2018-07-15,65,False
2018-07-22,71,False
2018-07-29,76,False
2018-08-05,73,False
2018-08-12,62,False
2018-08-19,69,False
2018-08-26,62,False
2018-09-02,73,False
2018-09-09,71,False
2018-09-16,71,False
2018-09-23,70,False
2018-09-30,85,False
2018-10-07,64,False
2018-10-14,74,False
2018-10-21,85,False
2018-10-28,64,False
2018-11-04,80,False
2018-11-11,86,False
2018-11-18,68,False
2018-11-25,64,False
2018-12-02,86,False
2018-12-09,68,False
2018-12-16,69,False
2018-12-23,64,False
2018-12-30,75,False
2019-01-06,63,False
2019-01-13,75,False
2019-01-20,77,False
2019-01-27,66,False
2019-02-03,72,False
2019-02-10,79,False
2019-02-17,73,False
2019-02-24,63,False
2019-03-03,79,False
2019-03-10,64,False
2019-03-17,67,False
2019-03-24,78,False
2019-03-31,80,False
2019-04-07,75,False
2019-04-14,74,False
2019-04-21,75,False
2019-04-28,72,False
2019-05-05,62,False
2019-05-12,71,False
2019-05-19,67,False
2019-05-26,70,False
2019-06-02,73,False
2019-06-09,74,False
2019-06-16,75,False
2019-06-23,74,False
2019-06-30,66,False
2019-07-07,47,False
2019-07-14,76,False
2019-07-21,79,False
2019-07-28,71,False
2019-08-04,64,False
2019-08-11,77,False
2019-08-18,57,False
2019-08-25,60,False
2019-09-01,56,False
2019-09-08,58,False
2019-09-15,54,False
2019-09-22,66,False
2019-09-29,69,False
2019-10-06,71,False
2019-10-13,75,False
2019-10-20,67,False
2019-10-27,65,False
2019-11-03,69,False
2019-11-10,58,False
2019-11-17,73,False
2019-11-24,63,False
2019-12-01,66,False
2019-12-08,57,False
2019-12-15,71,False
2019-12-22,65,False
2019-12-29,86,False
2020-01-05,71,False
2020-01-12,47,False
2020-01-19,53,False
2020-01-26,60,False
2020-02-02,78,False
2020-02-09,89,False
2020-02-16,67,False
2020-02-23,63,False
2020-03-01,63,False
2020-03-08,61,False
2020-03-15,85,False
2020-03-22,92,False
2020-03-29,100,False
2020-04-05,76,False
2020-04-12,83,False
2020-04-19,98,False
2020-04-26,80,True
