geoName,geoCode,discoteche
Abruzzo,IT-65,58
Aosta,IT-23,96
Apulia,IT-75,51
Basilicata,IT-77,72
Calabria,IT-78,45
Campania,IT-72,66
Emilia-Romagna,IT-45,77
Friuli-Venezia Giulia,IT-36,64
Lazio,IT-62,83
Liguria,IT-42,98
Lombardy,IT-25,92
Marche,IT-57,66
Molise,IT-67,25
Piedmont,IT-21,100
Sardinia,IT-88,64
Sicily,IT-82,39
Trentino-Alto Adige/South Tyrol,IT-32,40
Tuscany,IT-52,92
Umbria,IT-55,60
Veneto,IT-34,77
