geoName,geoCode,video editing
Abruzzo,IT-65,59
Aosta,IT-23,0
Apulia,IT-75,64
Basilicata,IT-77,0
Calabria,IT-78,71
Campania,IT-72,68
Emilia-Romagna,IT-45,85
Friuli-Venezia Giulia,IT-36,87
Lazio,IT-62,80
Liguria,IT-42,100
Lombardy,IT-25,73
Marche,IT-57,56
Molise,IT-67,0
Piedmont,IT-21,68
Sardinia,IT-88,68
Sicily,IT-82,40
Trentino-Alto Adige/South Tyrol,IT-32,50
Tuscany,IT-52,70
Umbria,IT-55,58
Veneto,IT-34,77
