geoName,geoCode,Cross training
Brittany,FR-E,83.9080459770115
Centre-Val de Loire,FR-F,71.26436781609196
Corsica,FR-H,0.0
Pays de la Loire,FR-R,100.0
Provence-Alpes-Côte d'Azur,FR-U,87.35632183908046
Île-de-France,FR-J,74.71264367816092
Grand-est,FR-GE,63.601532567049816
Hauts-de-france,FR-HF,57.47126436781609
Normandie,FR-NO,59.77011494252874
Bourgogne-Franche-Comté,FR-BFC,77.58620689655173
Nouvelle-Aquitaine,FR-NA,81.22605363984675
Occitanie,FR-OC,70.6896551724138
Auvergne-Rhône-Alpes,FR-AR,100.0
