date,Cross training
2018-01-07,1.0
2018-01-14,0.43973941368078173
2018-01-21,0.13355048859934854
2018-01-28,0.41368078175895767
2018-02-04,0.7035830618892508
2018-02-11,0.20521172638436483
2018-02-18,0.46254071661237783
2018-02-25,0.5342019543973942
2018-03-04,0.495114006514658
2018-03-11,0.5798045602605864
2018-03-18,0.13680781758957655
2018-03-25,0.2671009771986971
2018-04-01,0.42671009771986973
2018-04-08,0.13680781758957655
2018-04-15,0.1465798045602606
2018-04-22,0.4364820846905538
2018-04-29,0.5830618892508144
2018-05-06,0.5602605863192183
2018-05-13,0.0
2018-05-20,0.13680781758957655
2018-05-27,0.13029315960912052
2018-06-03,0.13029315960912052
2018-06-10,0.1237785016286645
2018-06-17,0.0
2018-06-24,0.5798045602605864
2018-07-01,0.21172638436482086
2018-07-08,0.44299674267100975
2018-07-15,0.19543973941368079
2018-07-22,0.44299674267100975
2018-07-29,0.43322475570032576
2018-08-05,0.12052117263843648
2018-08-12,0.6156351791530945
2018-08-19,0.0
2018-08-26,0.6416938110749185
2018-09-02,0.19543973941368079
2018-09-09,0.6123778501628665
2018-09-16,0.13029315960912052
2018-09-23,0.4592833876221498
2018-09-30,0.4527687296416938
2018-10-07,0.7882736156351792
2018-10-14,0.4560260586319218
2018-10-21,0.14006514657980457
2018-10-28,0.44625407166123776
2018-11-04,0.13029315960912052
2018-11-11,0.13355048859934854
2018-11-18,0.13029315960912052
2018-11-25,0.4364820846905538
2018-12-02,0.13355048859934854
2018-12-09,0.44625407166123776
2018-12-16,0.13680781758957655
2018-12-23,0.3127035830618892
2018-12-30,0.1465798045602606
2019-01-06,0.13355048859934854
2019-01-13,0.4169381107491857
2019-01-20,0.1270358306188925
2019-01-27,0.1270358306188925
2019-02-03,0.19543973941368079
2019-02-10,0.14332247557003258
2019-02-17,0.4755700325732899
2019-02-24,0.46905537459283386
2019-03-03,0.0
2019-03-10,0.7328990228013029
2019-03-17,0.5960912052117264
2019-03-24,0.31921824104234525
2019-03-31,0.11726384364820847
2019-04-07,0.11726384364820847
2019-04-14,0.24104234527687296
2019-04-21,0.11726384364820847
2019-04-28,0.39087947882736157
2019-05-05,0.0
2019-05-12,0.0
2019-05-19,0.11074918566775244
2019-05-26,0.11400651465798045
2019-06-02,0.10423452768729642
2019-06-09,0.10749185667752444
2019-06-16,0.11074918566775244
2019-06-23,0.0
2019-06-30,0.15960912052117263
2019-07-07,0.28664495114006516
2019-07-14,0.31596091205211724
2019-07-21,0.4006514657980456
2019-07-28,0.4723127035830619
2019-08-04,0.0
2019-08-11,0.41368078175895767
2019-08-18,0.11400651465798045
2019-08-25,0.43973941368078173
2019-09-01,0.42671009771986973
2019-09-08,0.48859934853420195
2019-09-15,0.15309446254071662
2019-09-22,0.10097719869706841
2019-09-29,0.10097719869706841
2019-10-06,0.7817589576547231
2019-10-13,0.38762214983713356
2019-10-20,0.2703583061889251
2019-10-27,0.6319218241042345
2019-11-03,0.8631921824104235
2019-11-10,0.36482084690553745
2019-11-17,0.4364820846905538
2019-11-24,0.0
2019-12-01,0.6482084690553745
2019-12-08,0.2736156351791531
2019-12-15,0.43973941368078173
2019-12-22,0.11726384364820847
2019-12-29,0.3973941368078176
2020-01-05,0.30944625407166126
2020-01-12,0.3941368078175896
2020-01-19,0.4755700325732899
2020-01-26,0.0
2020-02-02,0.20846905537459284
2020-02-09,0.46905537459283386
2020-02-16,0.36807817589576547
2020-02-23,0.0
2020-03-01,0.36156351791530944
2020-03-08,0.0
2020-03-15,0.38436482084690554
2020-03-22,0.36807817589576547
2020-03-29,0.3583061889250814
2020-04-05,0.5700325732899023
2020-04-12,0.30618892508143325
2020-04-19,0.09120521172638436
2020-04-26,0.4169381107491857
2020-05-03,0.30293159609120524
2020-05-10,0.5439739413680782
2020-05-17,0.495114006514658
2020-05-24,0.09446254071661238
2020-05-31,0.22149837133550487
2020-06-07,0.09120521172638436
2020-06-14,0.14006514657980457
2020-06-21,0.0
