date,stage en anglais,isPartial
2018-01-07,79,False
2018-01-14,80,False
2018-01-21,89,False
2018-01-28,85,False
2018-02-04,75,False
2018-02-11,45,False
2018-02-18,52,False
2018-02-25,65,False
2018-03-04,82,False
2018-03-11,100,False
2018-03-18,86,False
2018-03-25,75,False
2018-04-01,50,False
2018-04-08,66,False
2018-04-15,77,False
2018-04-22,53,False
2018-04-29,50,False
2018-05-06,30,False
2018-05-13,66,False
2018-05-20,62,False
2018-05-27,59,False
2018-06-03,57,False
2018-06-10,33,False
2018-06-17,46,False
2018-06-24,26,False
2018-07-01,42,False
2018-07-08,21,False
2018-07-15,43,False
2018-07-22,19,False
2018-07-29,31,False
2018-08-05,35,False
2018-08-12,58,False
2018-08-19,25,False
2018-08-26,40,False
2018-09-02,56,False
2018-09-09,58,False
2018-09-16,67,False
2018-09-23,70,False
2018-09-30,46,False
2018-10-07,67,False
2018-10-14,87,False
2018-10-21,47,False
2018-10-28,56,False
2018-11-04,59,False
2018-11-11,45,False
2018-11-18,67,False
2018-11-25,34,False
2018-12-02,60,False
2018-12-09,55,False
2018-12-16,26,False
2018-12-23,33,False
2018-12-30,47,False
2019-01-06,68,False
2019-01-13,82,False
2019-01-20,49,False
2019-01-27,55,False
2019-02-03,50,False
2019-02-10,69,False
2019-02-17,61,False
2019-02-24,43,False
2019-03-03,67,False
2019-03-10,59,False
2019-03-17,61,False
2019-03-24,29,False
2019-03-31,63,False
2019-04-07,66,False
2019-04-14,29,False
2019-04-21,44,False
2019-04-28,37,False
2019-05-05,48,False
2019-05-12,48,False
2019-05-19,86,False
2019-05-26,45,False
2019-06-02,55,False
2019-06-09,65,False
2019-06-16,54,False
2019-06-23,31,False
2019-06-30,39,False
2019-07-07,48,False
2019-07-14,41,False
2019-07-21,44,False
2019-07-28,27,False
2019-08-04,24,False
2019-08-11,45,False
2019-08-18,51,False
2019-08-25,42,False
2019-09-01,38,False
2019-09-08,54,False
2019-09-15,46,False
2019-09-22,55,False
2019-09-29,73,False
2019-10-06,55,False
2019-10-13,50,False
2019-10-20,53,False
2019-10-27,50,False
2019-11-03,51,False
2019-11-10,59,False
2019-11-17,77,False
2019-11-24,50,False
2019-12-01,40,False
2019-12-08,41,False
2019-12-15,46,False
2019-12-22,20,False
2019-12-29,22,False
2020-01-05,89,False
2020-01-12,61,False
2020-01-19,65,False
2020-01-26,44,False
2020-02-02,72,False
2020-02-09,62,False
2020-02-16,63,False
2020-02-23,60,False
2020-03-01,45,False
2020-03-08,68,False
2020-03-15,32,False
2020-03-22,24,False
2020-03-29,46,False
2020-04-05,29,False
2020-04-12,41,False
2020-04-19,29,False
2020-04-26,23,False
2020-05-03,17,False
2020-05-10,27,False
2020-05-17,11,True
