geoName,geoCode,Punto A Croce
Abruzzo,IT-65,50
Aosta,IT-23,0
Apulia,IT-75,74
Basilicata,IT-77,75
Calabria,IT-78,100
Campania,IT-72,71
Emilia-Romagna,IT-45,26
Friuli-Venezia Giulia,IT-36,27
Lazio,IT-62,30
Liguria,IT-42,38
Lombardy,IT-25,39
Marche,IT-57,44
Molise,IT-67,0
Piedmont,IT-21,41
Sardinia,IT-88,35
Sicily,IT-82,69
Trentino-Alto Adige/South Tyrol,IT-32,14
Tuscany,IT-52,43
Umbria,IT-55,27
Veneto,IT-34,40
