geoName,geoCode,Fliesen
Burgenland,AT-1,100
Carinthia,AT-2,73
Lower Austria,AT-3,79
Salzburg,AT-5,66
Styria,AT-6,75
Tyrol,AT-7,61
Upper Austria,AT-4,79
Vienna,AT-9,59
Vorarlberg,AT-8,62
