geoName,geoCode,modista
Andalusia,ES-AN,81
Aragon,ES-AR,80
Asturias,ES-AS,98
Balearic Islands,ES-IB,74
Basque Country,ES-PV,64
Canary Islands,ES-CN,40
Cantabria,ES-CB,88
Castile and León,ES-CL,62
Castile-La Mancha,ES-CM,78
Catalonia,ES-CT,81
Ceuta,ES-CE,0
Community of Madrid,ES-MD,100
Extremadura,ES-EX,67
Galicia,ES-GA,96
La Rioja,ES-RI,50
Melilla,ES-ML,0
Navarre,ES-NC,79
Region of Murcia,ES-MC,62
Valencian Community,ES-VC,81
