geoName,geoCode,parrucchiere uomo
Abruzzo,IT-65,70
Aosta,IT-23,0
Apulia,IT-75,64
Basilicata,IT-77,0
Calabria,IT-78,24
Campania,IT-72,40
Emilia-Romagna,IT-45,47
Friuli-Venezia Giulia,IT-36,67
Lazio,IT-62,66
Liguria,IT-42,43
Lombardy,IT-25,100
Marche,IT-57,33
Molise,IT-67,0
Piedmont,IT-21,79
Sardinia,IT-88,68
Sicily,IT-82,43
Trentino-Alto Adige/South Tyrol,IT-32,31
Tuscany,IT-52,71
Umbria,IT-55,0
Veneto,IT-34,47
