geoName,geoCode,Coach sportif
Brittany,FR-E,70.4225352112676
Centre-Val de Loire,FR-F,52.112676056338024
Corsica,FR-H,52.112676056338024
Pays de la Loire,FR-R,64.7887323943662
Provence-Alpes-Côte d'Azur,FR-U,66.19718309859155
Île-de-France,FR-J,69.01408450704226
Grand-est,FR-GE,53.051643192488264
Hauts-de-france,FR-HF,53.52112676056338
Normandie,FR-NO,54.22535211267606
Bourgogne-Franche-Comté,FR-BFC,72.53521126760563
Nouvelle-Aquitaine,FR-NA,100.0
Occitanie,FR-OC,60.56338028169014
Auvergne-Rhône-Alpes,FR-AR,64.7887323943662
